step,mode,root_z,root_vz,root_roll,root_pitch,root_yaw,root_ang_vel_z,left_foot_force_z,right_foot_force_z,total_contact_force_z,left_foot_height,right_foot_height,left_in_contact,right_in_contact,action_knee_L,action_knee_R,target_knee_L,target_knee_R,dof_pos_knee_L,dof_pos_knee_R,dof_vel_knee_L,dof_vel_knee_R,torque_knee_L,torque_knee_R,torque_ratio_knee_L,torque_ratio_knee_R,action_hip_L,action_hip_R,target_hip_L,target_hip_R,dof_pos_hip_L,dof_pos_hip_R,torque_hip_L,torque_hip_R,torque_ratio_hip_L,torque_ratio_hip_R,action_ankle_L,action_ankle_R,target_ankle_L,target_ankle_R,dof_pos_ankle_L,dof_pos_ankle_R,torque_ankle_L,torque_ankle_R,torque_ratio_ankle_L,torque_ratio_ankle_R,projected_gravity_x,projected_gravity_y,reset_buf
0,A:stabilize,0.026690080761909485,1.0179638862609863,0.004167982842773199,-0.004899939056485891,-0.0004305511829443276,0.14332278072834015,65.409423828125,23.60611915588379,89.01554298400879,-0.3514941930770874,-0.3522440791130066,1,1,0.0,0.0,0.5,0.5,0.0035105408169329166,0.003990845289081335,-0.8958537578582764,-1.461515188217163,16.37914276123047,17.402263641357422,0.4549761878119575,0.4833962122599284,0.0,0.0,-0.20000000298023224,-0.20000000298023224,0.0024299733340740204,0.0020444958936423063,-9.255446434020996,-9.85018539428711,0.257095734278361,0.2736162609524197,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.0031518482137471437,-0.0029153001960366964,-4.1831841468811035,-4.825406074523926,0.19014473394914108,0.21933663975108753,-0.004899919498711824,-0.004167920909821987,0
1,A:stabilize,0.04796283692121506,1.013440489768982,0.0049730390310287476,-0.006505975499749184,-0.0009307197178713977,0.1572892814874649,81.14811706542969,29.922412872314453,111.07052993774414,-0.33019834756851196,-0.33110490441322327,1,1,0.0,0.0,0.5,0.5,0.00611678883433342,0.007318311370909214,-0.9274386167526245,-1.4452399015426636,16.18696403503418,16.961746215820312,0.44963788986206055,0.4711596171061198,0.0,0.0,-0.20000000298023224,-0.20000000298023224,0.0021932190284132957,0.0013216260122135282,-8.473405838012695,-8.90516471862793,0.23537238438924155,0.2473656866285536,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.006060998421162367,-0.006163903512060642,-4.2620954513549805,-4.6817216873168945,0.19373161142522638,0.21280553124167703,-0.00650592939928174,-0.0049729123711586,0
2,A:stabilize,0.06921868026256561,1.0173957347869873,0.005711419507861137,-0.005422407295554876,-0.0015224604867398739,0.1291676163673401,72.69598388671875,24.746150970458984,97.44213485717773,-0.30892089009284973,-0.3099682033061981,1,1,0.0,0.0,0.5,0.5,0.00814110692590475,0.009986349381506443,-0.9156538248062134,-1.4698610305786133,16.231565475463867,16.95657730102539,0.4508768187628852,0.4710160361395942,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.00031568005215376616,-0.0017475365893915296,-8.43222427368164,-8.799419403076172,0.23422845204671225,0.24442831675211588,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.009027315303683281,-0.009008019231259823,-4.179989814758301,-4.753023147583008,0.18999953703446823,0.21604650670831854,-0.0054223807528615,-0.005711303558200598,0
3,A:stabilize,0.0906594768166542,1.0538630485534668,0.006363877560943365,0.0042666178196668625,-0.0001054859021678567,0.2280997484922409,44.64440155029297,15.280536651611328,59.9249382019043,-0.28765416145324707,-0.28879183530807495,1,1,0.0,0.0,0.5,0.5,0.02417241968214512,0.02444671280682087,1.2644658088684082,0.41340696811676025,13.790908813476562,14.694782257080078,0.38308080037434894,0.4081883960300022,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.025716552510857582,-0.025814777240157127,-4.477489948272705,-4.878561973571777,0.12437472078535292,0.1355156103769938,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.013228245079517365,-0.012081912718713284,-3.6772754192352295,-4.535305976867676,0.16714888269251044,0.20615027167580344,0.004266604781150818,-0.006363776512444019,0
4,A:stabilize,0.1125999242067337,1.0734739303588867,0.0064390371553599834,0.03651762381196022,0.001202448969706893,-0.0010835989378392696,8.970653533935547,0.0,8.970653533935547,-0.2661347985267639,-0.2672595977783203,1,0,0.0,0.0,0.5,0.5,0.0740150734782219,0.07256561517715454,2.6146256923675537,2.3279895782470703,9.62438678741455,9.851953506469727,0.26734407742818195,0.2736653751797146,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.10823243111371994,-0.10750751942396164,3.146209239959717,3.178224563598633,0.08739470110999213,0.08828401565551758,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.0205259770154953,-0.01647498644888401,-4.320567607879639,-4.654194355010986,0.19638943672180176,0.21155428886413574,0.03650950640439987,-0.006434698589146137,0
5,A:stabilize,0.13396961987018585,1.0412440299987793,0.006037910934537649,0.06037699058651924,0.0017636610427871346,-0.014767159707844257,0.0,0.938313901424408,0.938313901424408,-0.24478669464588165,-0.24585400521755219,0,0,0.0,0.0,0.5,0.5,0.12108828127384186,0.11934028565883636,1.9558794498443604,1.7702986001968384,8.627172470092773,8.965180397033691,0.23964367972479927,0.24903278880649143,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.17951932549476624,-0.17863216996192932,3.8303802013397217,3.782473087310791,0.10639945003721449,0.1050686968697442,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.023861927911639214,-0.020287033170461655,-4.0427703857421875,-4.489494323730469,0.18376229026100852,0.2040679238059304,0.060340315103530884,-0.006026872433722019,0
6,A:stabilize,0.15476687252521515,1.017887830734253,0.0052212439477443695,0.06976372003555298,0.0019585450645536184,-0.05338560417294502,9.542834281921387,9.534558296203613,19.077392578125,-0.22379612922668457,-0.22472359240055084,1,1,0.0,0.0,0.5,0.5,0.158604234457016,0.1569007784128189,1.388015866279602,1.171194314956665,8.149396896362305,8.75500202178955,0.226372136010064,0.2431945006052653,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.2252274602651596,-0.2243236005306244,3.364694595336914,3.223343849182129,0.09346373875935872,0.08953732914394802,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.029749346897006035,-0.025643322616815567,-3.615116834640503,-4.372395992279053,0.1643234924836592,0.1987452723763206,0.06970714032649994,-0.0052085197530686855,0
7,A:stabilize,0.17526867985725403,1.0148355960845947,0.0048134527169167995,0.06814530491828918,0.001571672153659165,-0.12414448708295822,3.24070405960083,6.961010932922363,10.201714992523193,-0.2029164880514145,-0.20376509428024292,1,1,0.0,0.0,0.5,0.5,0.19088871777057648,0.18992355465888977,1.3413500785827637,1.175963282585144,6.614477634429932,7.244001865386963,0.18373548984527588,0.20122227403852674,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.2534390091896057,-0.2531294524669647,3.623948574066162,3.475248098373413,0.1006652381685045,0.09653466939926147,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.03559890016913414,-0.03081445023417473,-3.182316303253174,-3.89227294921875,0.14465074105696243,0.17692149769176135,0.06809257715940475,-0.00480226194486022,0
8,A:stabilize,0.19565452635288239,1.0176925659179688,0.004807285964488983,0.05433566868305206,0.0018613782012835145,0.023803921416401863,0.0,0.0,0.0,-0.1818733513355255,-0.18272317945957184,0,0,0.0,0.0,0.5,0.5,0.25040367245674133,0.2494438737630844,2.691455125808716,2.8256163597106934,3.2577757835388184,2.9936795234680176,0.09049377176496717,0.08315776454077826,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.27805906534194946,-0.2776663899421692,3.9445202350616455,4.091933250427246,0.10957000652949016,0.11366481251186794,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.0607801117002964,-0.0548722930252552,-1.636439561843872,-1.8878865242004395,0.07438361644744873,0.08581302382729271,0.0543089359998703,-0.0048001729883253574,0
9,A:stabilize,0.21588775515556335,1.0076079368591309,0.004979581106454134,0.027300169691443443,0.0016910949489101768,-0.012194368988275528,0.0,0.0,0.0,-0.16086454689502716,-0.16175487637519836,0,0,0.0,0.0,0.5,0.5,0.3029583990573883,0.301052987575531,2.689455986022949,2.714262008666992,3.754631280899048,3.8694705963134766,0.10429531335830688,0.10748529434204102,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.2801358103752136,-0.2792476713657379,1.8777872323989868,1.8313395977020264,0.05216075645552741,0.050870544380611844,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.08782777190208435,-0.08032151311635971,-2.120771884918213,-2.186514377593994,0.09639872204173695,0.09938701716336337,0.027296777814626694,-0.0049777040258049965,0
