step,mode,root_z,root_vz,root_roll,root_pitch,root_yaw,root_ang_vel_z,left_foot_force_z,right_foot_force_z,total_contact_force_z,left_foot_height,right_foot_height,left_in_contact,right_in_contact,action_knee_L,action_knee_R,target_knee_L,target_knee_R,dof_pos_knee_L,dof_pos_knee_R,dof_vel_knee_L,dof_vel_knee_R,torque_knee_L,torque_knee_R,torque_ratio_knee_L,torque_ratio_knee_R,action_hip_L,action_hip_R,target_hip_L,target_hip_R,dof_pos_hip_L,dof_pos_hip_R,torque_hip_L,torque_hip_R,torque_ratio_hip_L,torque_ratio_hip_R,action_ankle_L,action_ankle_R,target_ankle_L,target_ankle_R,dof_pos_ankle_L,dof_pos_ankle_R,torque_ankle_L,torque_ankle_R,torque_ratio_ankle_L,torque_ratio_ankle_R,projected_gravity_x,projected_gravity_y,reset_buf
0,B:stabilize,0.38252875208854675,0.9969090223312378,0.01698639616370201,0.008188800886273384,-3.0638134479522705,-0.18470074236392975,154.31932067871094,110.37797546386719,264.6972961425781,0.011359961703419685,0.014558188617229462,1,1,0.0,0.0,0.5,0.5,0.507575511932373,0.3578866720199585,0.9682116508483887,1.4377171993255615,-2.725149154663086,2.70755672454834,0.07569858762953016,0.07520990901523167,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.3596819043159485,-0.4325774312019348,5.156697750091553,7.4831085205078125,0.1432416041692098,0.20786412556966147,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.22970256209373474,0.03394996002316475,1.671348214149475,-4.38776969909668,0.07597037337043068,0.19944407723166727,0.008188709616661072,-0.016985006630420685,0
1,B:stabilize,0.4029891788959503,1.0281941890716553,0.009408863261342049,-0.020043380558490753,-3.0599265098571777,0.36798036098480225,100.34015655517578,60.19731140136719,160.53746795654297,0.03132455796003342,0.035320788621902466,1,1,0.0,0.0,0.5,0.5,0.5174212455749512,0.3894181549549103,0.5015037655830383,1.6088310480117798,-1.227433443069458,1.1492526531219482,0.03409537341859606,0.031923684808943004,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.32982930541038513,-0.40412360429763794,1.7564911842346191,4.071920394897461,0.04879142178429498,0.1131088998582628,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.2392725944519043,-0.012164780870079994,1.3052356243133545,-1.7260856628417969,0.059328892014243385,0.07845843922008168,-0.020042037591338158,-0.009406833909451962,0
2,B:stabilize,0.421876460313797,0.8684569597244263,-0.0010335393017157912,-0.05672363564372063,-3.0514047145843506,0.3368072807788849,0.0,0.0,0.0,0.04934285581111908,0.054267339408397675,0,0,0.0,0.0,0.5,0.5,0.5168704986572266,0.421451598405838,-0.14197774231433868,1.42135488986969,-0.33670806884765625,0.5079538822174072,0.009353001912434896,0.014109830061594645,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.2889755964279175,-0.35891294479370117,-0.2447948455810547,1.372065544128418,0.006799856821695964,0.03811293178134494,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.22216717898845673,-0.0701252818107605,-0.3285456895828247,0.06125831604003906,0.014933894981037487,0.0027844689109108663,-0.056693222373723984,0.001031876658089459,0
3,B:stabilize,0.4368465840816498,0.6701964139938354,-0.009710323996841908,-0.0939212217926979,-3.04343581199646,0.4158223271369934,0.0,0.0,0.0,0.06351643055677414,0.0689983144402504,0,0,0.0,0.0,0.5,0.5,0.5156760215759277,0.445333868265152,0.0035089266020804644,1.1276679039001465,-0.4086974859237671,0.06552672386169434,0.011352707942326864,0.0018201867739359538,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.24752676486968994,-0.3096405267715454,-1.3428155183792114,-0.01700139045715332,0.037300431066089206,0.0004722608460320367,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.2127036303281784,-0.1160804033279419,-0.15015283226966858,0.2888939380645752,0.00682512873953039,0.013131542639298872,-0.09378319978713989,0.00966737512499094,0
4,B:stabilize,0.44792962074279785,0.4746071994304657,-0.01477725338190794,-0.12762905657291412,-3.0322976112365723,0.6015670299530029,0.0,0.0,0.0,0.0742780938744545,0.07977460324764252,0,0,0.0,0.0,0.5,0.5,0.5171847343444824,0.46577706933021545,0.10563649982213974,0.9605559706687927,-0.6346152424812317,-0.33290278911590576,0.017628201180034213,0.009247299697664049,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.21527862548828125,-0.26702868938446045,-1.6524213552474976,-0.8175816535949707,0.045900593201319374,0.022710601488749187,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.20547257363796234,-0.1446499526500702,-0.20894038677215576,0.10478866100311279,0.009497290307825262,0.004763120954686945,-0.12728284299373627,0.01465652696788311,0
5,B:stabilize,0.45513153076171875,0.2791203558444977,-0.018338950350880623,-0.15674954652786255,-3.017611503601074,0.7675026059150696,0.0,0.0,0.0,0.08145450800657272,0.08680704981088638,0,0,0.0,0.0,0.5,0.5,0.5193257331848145,0.4827256500720978,0.09576911479234695,0.775604784488678,-0.7258201837539673,-0.6027024388313293,0.020161671770943537,0.01674173441198137,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.1938130259513855,-0.2330349087715149,-1.561864972114563,-1.2447460889816284,0.04338513811429342,0.03457628024948968,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.1999029964208603,-0.161569744348526,-0.245415598154068,-0.05450165271759033,0.011155254461548546,0.0024773478507995605,-0.15610842406749725,0.01811309903860092,0
6,B:stabilize,0.4584130346775055,0.0821438878774643,-0.02177785150706768,-0.1809927225112915,-3.0003044605255127,0.8687033653259277,0.0,0.0,0.0,0.08489944040775299,0.09017499536275864,0,0,0.0,0.0,0.5,0.5,0.5202767848968506,0.4956572353839874,0.013066885061562061,0.5674660801887512,-0.6625674366950989,-0.7154486775398254,0.018404651019308303,0.019873574376106262,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.18235838413238525,-0.20832842588424683,-1.2368546724319458,-1.3555673360824585,0.034357074234220714,0.037654648224512734,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.19622354209423065,-0.17153552174568176,-0.23252326250076294,-0.14836809039115906,0.010569239204580133,0.006744004108689048,-0.18000616133213043,0.021420426666736603,0
7,B:stabilize,0.4577299654483795,-0.1163407489657402,-0.025652073323726654,-0.20076687633991241,-2.981684923171997,0.9016026854515076,0.0,0.0,0.0,0.08455807715654373,0.08986911177635193,0,0,0.0,0.0,0.5,0.5,0.519251823425293,0.5043966770172119,-0.08941038697957993,0.3606248199939728,-0.4943474531173706,-0.6937887668609619,0.01373187369770474,0.019271910190582275,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.17893654108047485,-0.19239312410354614,-0.8115324974060059,-1.2461566925048828,0.022542569372389052,0.03461546368069119,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.19446884095668793,-0.1777542531490326,-0.1810019314289093,-0.1794511079788208,0.008227360519495878,0.008156868544491854,-0.19942085444927216,0.025134067982435226,0
8,B:stabilize,0.45305562019348145,-0.3156147003173828,-0.03005114756524563,-0.2169748991727829,-2.9628992080688477,0.8839648962020874,0.0,0.0,0.0,0.08043217658996582,0.08585333824157715,0,0,0.0,0.0,0.5,0.5,0.5163693428039551,0.5093107223510742,-0.17296449840068817,0.18154628574848175,-0.28423523902893066,-0.5859864950180054,0.007895423306359185,0.016277402639389038,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.18111413717269897,-0.1837819218635559,-0.3847962021827698,-1.0206505060195923,0.010688783393965827,0.028351402944988675,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.19434218108654022,-0.18215695023536682,-0.11182664334774017,-0.16544514894485474,0.005083029243079099,0.007520234042947943,-0.21527643501758575,0.029342126101255417,0
9,B:stabilize,0.44438689947128296,-0.514834463596344,-0.034866854548454285,-0.23074033856391907,-2.9446768760681152,0.8398388624191284,0.0,0.0,0.0,0.07253573834896088,0.0780971348285675,0,0,0.0,0.0,0.5,0.5,0.5122692584991455,0.5111796855926514,-0.2191290557384491,0.046609893441200256,-0.08380961418151855,-0.44209548830986023,0.0023280448383755153,0.012280430230829451,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.18652886152267456,-0.1805894374847412,-0.019426077604293823,-0.7637644410133362,0.0005396132667859396,0.021215678917037115,0.0,0.0,-0.20000000298023224,-0.20000000298023224,-0.19533853232860565,-0.18573132157325745,-0.043744735419750214,-0.1275053769350052,0.0019883970645341005,0.005795698951591145,-0.22869829833507538,0.03393591195344925,0
