step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
1,10,0.020000,0.008800,0.394779,0.999975,0.006437,0.000085,0.002750,0.000165,-0.012159,-0.999926,1.292128,-0.121961,0.126428,0.506922,-0.587821,-0.159917,0.088348,0.033347,-0.243880,-0.168393,0.126730,0.4087,1.3082,0.2799,1.7072,
2,20,0.040000,0.016800,0.411847,0.999903,0.007825,0.005181,-0.010330,0.009810,-0.015563,-0.999831,1.573554,-0.194492,0.569622,0.468782,-1.099521,-0.205686,0.084749,0.005281,-2.123811,-0.057594,0.117195,4.3045,1.0101,-1.7255,4.8297,
3,30,0.060000,0.024800,0.424904,0.999439,0.024487,0.003724,-0.022540,0.009274,-0.044685,-0.998958,2.018098,-0.244742,0.538166,0.065353,-0.818951,-0.222338,0.059762,-0.053158,0.063433,-0.065458,0.016338,4.8472,3.9672,-2.4813,10.9708,
4,40,0.080000,0.032800,0.434193,0.998764,0.041723,-0.004550,-0.026618,-0.005162,-0.080712,-0.996724,2.234859,-0.268622,0.449412,-0.189754,-0.553073,-0.193103,0.041537,-0.088991,1.966333,-0.087647,-0.047439,0.8798,-0.0157,-1.3200,2.4034,
5,50,0.100000,0.040800,0.439646,0.998091,0.052206,-0.015736,-0.028998,-0.026265,-0.103532,-0.994279,2.385254,-0.250318,0.486669,-0.247148,-0.498770,-0.138100,0.037538,-0.103300,2.760312,-0.078333,-0.061787,-2.6269,-2.4296,-0.4769,5.2893,
6,60,0.120000,0.048800,0.441135,0.997610,0.056844,-0.026396,-0.029096,-0.047512,-0.114369,-0.992302,2.703146,-0.204911,0.587710,-0.090875,-0.466056,-0.081238,0.036807,-0.107880,2.490158,-0.053072,-0.022719,-3.6481,-2.9002,-0.2855,4.4331,
7,70,0.140000,0.056800,0.438658,0.997415,0.057890,-0.034485,-0.024944,-0.064485,-0.117139,-0.991020,2.893114,-0.194974,0.678963,0.042390,-0.446983,-0.039331,0.036512,-0.109808,1.668902,-0.030259,0.010598,-2.9156,-1.7561,-0.1037,4.6776,
8,80,0.160000,0.064800,0.432250,0.997387,0.057803,-0.039852,-0.017004,-0.076625,-0.116811,-0.990194,3.117318,-0.189590,0.734000,0.223719,-0.366777,-0.012715,0.036323,-0.110610,0.978613,-0.016500,0.055930,-1.9942,-0.7642,0.0020,6.6085,
9,90,0.180000,0.072800,0.422314,0.997645,0.052025,-0.043309,-0.011076,-0.084602,-0.108652,-0.990473,3.258900,-0.189138,0.843017,0.276715,-0.314059,0.008416,0.042973,-0.109863,0.909666,0.010754,0.069179,-2.1120,-1.4056,0.4698,7.9233,
10,100,0.200000,0.080800,0.416821,0.998465,0.027058,-0.047611,-0.008254,-0.093326,-0.058002,-0.993945,3.255909,-0.190039,0.969698,0.241573,-0.263139,0.030564,0.080425,-0.110902,1.165427,0.042425,0.060393,-2.3424,-2.0554,1.9026,8.6955,
