step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
1,10,0.020000,0.008800,0.417229,0.999809,0.000112,-0.019565,0.000006,-0.034418,-0.000199,-0.999408,1.552253,-0.269062,-0.449243,1.144053,0.813752,-0.142025,-0.014287,-0.023487,3.788171,-0.312311,0.286013,-7.4215,1.6842,3.6421,13.5199,
2,20,0.040000,0.016800,0.427994,0.999181,0.000443,-0.040465,-0.000183,-0.077291,-0.000881,-0.997008,2.920813,-0.457477,-0.449035,2.047473,1.219968,-0.068607,-0.035401,-0.051379,3.389782,-0.312259,0.511868,-12.3958,11.0871,8.3925,16.2319,
3,30,0.060000,0.024800,0.436418,0.998698,0.000304,-0.050998,0.001110,-0.100667,-0.000561,-0.994920,3.601593,-0.467999,-0.087731,1.813385,0.943648,-0.020249,-0.046061,-0.053971,1.467300,-0.221933,0.453346,-10.9612,16.9232,10.8058,18.6833,
4,40,0.080000,0.032800,0.439914,0.998554,0.000010,-0.053715,0.002276,-0.107047,0.000151,-0.994254,3.744878,-0.481983,0.371996,1.406343,0.788269,-0.007618,-0.044880,-0.054044,0.275543,-0.107001,0.351586,-6.8428,14.7553,8.6915,16.8123,
5,50,0.100000,0.040800,0.436419,0.998530,-0.000243,-0.054082,0.003647,-0.107965,0.000867,-0.994154,4.010828,-0.600902,0.608650,1.196085,0.577027,-0.004615,-0.042301,-0.053807,0.092819,-0.047838,0.299021,-3.2108,11.6387,7.4991,22.0000,
6,60,0.120000,0.048800,0.433290,0.998367,0.001230,-0.056914,0.004814,-0.112824,-0.001538,-0.993614,4.106763,-0.711999,0.562724,1.195115,0.974330,-0.003298,-0.040997,-0.053157,0.051674,-0.059319,0.298779,-1.4137,10.1505,5.8743,22.0000,
7,70,0.140000,0.056800,0.432985,0.998024,0.003392,-0.062489,0.005636,-0.123568,-0.005625,-0.992320,5.033770,-0.752854,0.106950,1.215406,1.213661,-0.002442,-0.040770,-0.052554,0.036952,-0.173262,0.303851,-1.7617,10.1893,8.8408,22.0000,
8,80,0.160000,0.064800,0.432757,0.997576,0.005425,-0.069067,0.006452,-0.136611,-0.009623,-0.990578,5.351490,-0.795350,-0.226073,1.278938,1.129083,-0.001802,-0.040990,-0.051949,0.028103,-0.256518,0.319734,-5.1860,10.3669,10.6154,22.0000,
9,90,0.180000,0.072800,0.432652,0.997127,0.006659,-0.075089,0.007364,-0.148719,-0.012015,-0.988806,5.790381,-0.881142,-0.318663,1.320204,0.882154,-0.001304,-0.041284,-0.051379,0.022204,-0.279666,0.330051,-7.6897,10.8525,9.9691,22.0000,
10,100,0.200000,0.080800,0.432631,0.996772,0.007424,-0.079390,0.009346,-0.157758,-0.013235,-0.987389,6.469527,-0.954504,-0.039770,1.368843,0.652397,-0.000901,-0.041554,-0.050941,0.018135,-0.209943,0.342211,-8.3901,11.1665,8.1165,22.0000,
