step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
1,10,0.020000,0.008800,0.417229,0.999809,0.000112,-0.019565,0.000006,-0.034418,-0.000199,-0.999408,1.122626,-0.247041,-0.778494,0.382481,0.653287,-0.142025,-0.014287,-0.023487,3.788171,-0.394624,0.095620,-7.4215,1.6842,3.6421,13.5199,
2,20,0.040000,0.016800,0.427697,0.999067,0.000729,-0.043175,-0.000323,-0.081803,-0.001383,-0.996648,2.153373,-0.408911,-0.919601,0.982279,1.280939,-0.068613,-0.035539,-0.054056,3.390478,-0.429900,0.245570,-14.8660,5.3860,7.4140,15.2798,
3,30,0.060000,0.024800,0.435563,0.998228,0.001113,-0.059497,0.000612,-0.116427,-0.002120,-0.993197,2.848135,-0.482740,-0.596541,1.234877,1.582224,-0.020300,-0.046988,-0.057052,1.463447,-0.349135,0.308719,-14.4832,9.0706,11.3355,18.7615,
4,40,0.080000,0.032800,0.438570,0.997705,0.001202,-0.067694,0.000923,-0.133826,-0.002267,-0.991002,3.235960,-0.517353,-0.183149,1.157409,1.630560,-0.007702,-0.047202,-0.056655,0.275249,-0.245787,0.289352,-10.6559,10.5846,13.5204,19.5539,
5,50,0.100000,0.040800,0.434641,0.997368,0.001253,-0.072494,0.001019,-0.143829,-0.002343,-0.989600,3.645177,-0.500244,-0.058811,0.705177,1.667271,-0.004650,-0.045712,-0.055998,0.096687,-0.214703,0.176294,-7.3792,9.9421,13.8581,22.0000,
6,60,0.120000,0.048800,0.428939,0.997029,0.001023,-0.077011,0.000846,-0.152599,-0.002021,-0.988286,3.803643,-0.438344,0.015815,0.353190,1.634502,-0.003222,-0.044584,-0.055283,0.056981,-0.196046,0.088298,-6.4299,6.5752,14.0966,22.0000,
7,70,0.140000,0.056800,0.428209,0.996605,0.000422,-0.082304,0.001897,-0.163011,-0.000683,-0.986624,3.910922,-0.374875,0.037873,0.283627,1.652768,-0.002250,-0.044297,-0.054318,0.042532,-0.190532,0.070907,-5.8777,3.9702,13.8166,22.0000,
8,80,0.160000,0.064800,0.428910,0.996126,0.000027,-0.087716,0.006283,-0.173680,0.000904,-0.984802,4.122441,-0.399121,0.031720,0.401810,1.397196,-0.001501,-0.044328,-0.053311,0.033158,-0.192070,0.100452,-5.7207,3.4693,13.9118,22.0000,
9,90,0.180000,0.072800,0.429863,0.995646,0.000244,-0.092017,0.014904,-0.182565,0.002158,-0.983191,4.297399,-0.441648,0.174790,0.453321,1.212784,-0.000941,-0.044428,-0.052299,0.023918,-0.156303,0.113330,-5.7697,4.3470,11.9768,22.0000,
10,100,0.200000,0.080800,0.430519,0.995224,0.001017,-0.093944,0.026528,-0.186864,0.002930,-0.982381,4.700876,-0.524040,0.516285,0.575011,1.195589,-0.000560,-0.044345,-0.051481,0.015481,-0.070929,0.143753,-4.6955,4.7232,10.5823,22.0000,
