step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
1,10,0.020000,0.008800,0.429909,1.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-1.000000,5.130231,0.109218,0.272079,1.673581,1.137683,-0.218830,0.222125,0.175076,-0.000000,-0.131980,0.418395,0.0000,-0.0000,0.0000,0.0000,
2,20,0.040000,0.016800,0.424088,0.999987,0.003265,-0.002674,-0.002868,-0.005181,-0.005838,-0.999970,7.214743,0.148780,0.132503,2.042732,1.867604,-0.175027,0.220907,0.195230,1.334585,-0.166874,0.510683,-0.7105,5.5180,1.2355,20.2568,
3,30,0.060000,0.024800,0.415134,0.999922,0.005956,-0.004393,-0.010099,-0.008413,-0.009967,-0.999915,7.617050,0.086378,-0.111703,1.548306,2.052285,-0.154219,0.239950,0.255047,0.283586,-0.227926,0.387076,-0.8051,7.6273,1.3566,36.0000,
4,40,0.080000,0.032800,0.408507,0.999768,0.018108,-0.007453,-0.008924,-0.013912,-0.034035,-0.999324,8.257693,0.021157,-0.332947,1.329915,2.069479,-0.150247,0.237332,0.316415,0.153960,-0.283237,0.332479,-2.5613,4.7621,1.8764,36.0000,
5,50,0.100000,0.040800,0.403593,0.999593,0.026281,-0.010153,0.004473,-0.020112,-0.050951,-0.998499,8.008874,-0.100731,-0.414984,0.951724,1.800757,-0.156718,0.238987,0.357745,-0.603916,-0.303746,0.237931,-2.8897,2.6401,2.0288,36.0000,
6,60,0.120000,0.048800,0.400206,0.999450,0.024956,-0.008058,0.020301,-0.017854,-0.051337,-0.998522,6.956101,-0.185892,-0.417403,0.618542,1.149588,-0.184511,0.253926,0.377201,-1.711673,-0.304351,0.154636,-1.0095,-2.6018,1.2673,36.0000,
7,70,0.140000,0.056800,0.399698,0.999423,0.016020,-0.002222,0.029856,-0.006524,-0.033319,-0.999423,6.468366,-0.200741,-0.150022,0.468995,0.771316,-0.228554,0.276893,0.361942,-2.218554,-0.237506,0.117249,1.0539,-4.9079,-0.7709,35.2690,
8,80,0.160000,0.064800,0.399149,0.999302,0.011568,0.003251,0.035365,0.004797,-0.023888,-0.999703,6.177321,-0.230405,0.067943,0.394801,0.785190,-0.271875,0.284540,0.328819,-1.915508,-0.183014,0.098700,3.9043,-5.2151,-1.5830,31.9569,
9,90,0.180000,0.072800,0.398377,0.999309,0.010247,0.006770,0.035079,0.012275,-0.021056,-0.999703,5.717719,-0.252607,-0.049040,0.425772,0.963404,-0.300769,0.284710,0.302786,-1.123254,-0.212260,0.106443,5.2175,-5.4738,-1.5507,29.9998,
10,100,0.200000,0.080800,0.397846,0.999436,0.011623,0.010195,0.029811,0.018942,-0.023441,-0.999546,5.199979,-0.258159,-0.337466,0.514579,1.143966,-0.317136,0.279775,0.291529,-0.695036,-0.284366,0.128645,4.1888,-4.7224,-1.0632,26.7457,
11,110,0.220000,0.088800,0.397889,0.999534,0.013235,0.014884,0.023129,0.028099,-0.026932,-0.999242,4.737661,-0.245564,-0.531566,0.585874,1.158030,-0.330601,0.273645,0.288718,-0.724448,-0.332892,0.146468,2.4737,-3.9513,-0.0089,22.9713,
12,120,0.240000,0.096800,0.398438,0.999531,0.013728,0.019961,0.018747,0.038412,-0.028136,-0.998866,4.539061,-0.231156,-0.581844,0.571737,1.020646,-0.346018,0.268885,0.288132,-0.786177,-0.345461,0.142934,1.5731,-3.3262,0.0587,19.4726,
13,130,0.260000,0.104800,0.398889,0.999486,0.014269,0.023902,0.015874,0.046722,-0.029195,-0.998481,4.174341,-0.243331,-0.506525,0.539311,0.890779,-0.361232,0.263519,0.286086,-0.686092,-0.326631,0.134828,1.5023,-3.2419,-0.7531,18.0372,
14,140,0.280000,0.112800,0.398960,0.999461,0.015480,0.025922,0.012849,0.051220,-0.031382,-0.998194,3.907830,-0.273959,-0.391065,0.520385,0.816933,-0.373773,0.257130,0.278450,-0.518447,-0.297766,0.130096,2.1919,-3.2076,-1.0359,15.4189,
15,150,0.300000,0.120800,0.398831,0.999464,0.017333,0.026364,0.008699,0.052436,-0.034794,-0.998018,4.010386,-0.299323,-0.332360,0.516353,0.783327,-0.382890,0.250028,0.269276,-0.385401,-0.283090,0.129088,3.1318,-3.1025,-1.4394,12.7707,
16,160,0.320000,0.128800,0.398725,0.999467,0.019358,0.026044,0.003591,0.052040,-0.038564,-0.997900,4.020918,-0.309126,-0.387824,0.546008,0.771715,-0.389875,0.242718,0.262437,-0.295299,-0.296956,0.136502,3.6465,-2.9010,-1.5380,10.8260,
17,170,0.340000,0.136800,0.398613,0.999451,0.020977,0.025441,-0.003205,0.051131,-0.041520,-0.997829,3.952593,-0.306769,-0.528350,0.603453,0.734969,-0.395633,0.236238,0.254293,-0.254550,-0.332087,0.150863,3.3421,-2.5557,-1.2072,9.6629,
18,180,0.360000,0.144800,0.398391,0.999396,0.022234,0.024544,-0.010507,0.049744,-0.043721,-0.997805,3.879731,-0.304643,-0.652773,0.659410,0.660029,-0.401797,0.230336,0.244467,-0.295509,-0.363193,0.164852,2.5345,-1.9546,-1.0901,8.8862,
19,190,0.380000,0.152800,0.397897,0.999320,0.023342,0.023032,-0.016886,0.047195,-0.045691,-0.997840,3.857595,-0.315400,-0.691439,0.701111,0.580575,-0.408972,0.224244,0.231877,-0.349516,-0.372860,0.175278,1.8976,-1.3382,-1.0794,8.0807,
20,200,0.400000,0.160800,0.397063,0.999237,0.024571,0.020626,-0.022264,0.042885,-0.047955,-0.997928,3.895492,-0.337497,-0.656964,0.727921,0.504586,-0.416239,0.217997,0.217274,-0.335186,-0.364241,0.181980,1.8041,-0.8316,-1.1299,6.9369,
21,210,0.420000,0.168800,0.395904,0.999148,0.025980,0.017232,-0.027029,0.036650,-0.050747,-0.998039,3.972993,-0.366160,-0.597756,0.742469,0.448254,-0.422993,0.211804,0.201992,-0.292710,-0.349439,0.185617,2.2016,-0.4951,-1.2041,5.2535,
22,220,0.440000,0.176800,0.394410,0.999063,0.027352,0.012521,-0.031116,0.027842,-0.053672,-0.998170,4.060312,-0.400696,-0.552256,0.763429,0.434869,-0.428560,0.206403,0.187315,-0.217600,-0.338064,0.190857,2.7000,-0.3128,-1.2487,3.4161,
23,230,0.460000,0.184800,0.392566,0.998989,0.028396,0.006214,-0.034302,0.015821,-0.056167,-0.998296,4.133800,-0.438362,-0.538009,0.794555,0.456439,-0.432285,0.202633,0.175407,-0.122461,-0.334502,0.198639,3.0103,-0.1781,-1.2223,3.4926,
24,240,0.480000,0.192800,0.390318,0.998916,0.028983,-0.001703,-0.036380,0.000474,-0.057926,-0.998321,4.190464,-0.477258,-0.538774,0.841234,0.494066,-0.434127,0.200911,0.167667,-0.037735,-0.334693,0.210309,3.0453,-0.0127,-1.1179,3.5260,
25,250,0.500000,0.200800,0.387576,0.998821,0.029240,-0.011111,-0.037119,-0.017971,-0.059195,-0.998085,4.234401,-0.519059,-0.517161,0.908263,0.539162,-0.434416,0.200687,0.163597,0.026604,-0.329290,0.227066,2.9518,0.2453,-0.9936,3.6164,
26,260,0.520000,0.208800,0.384257,0.998678,0.028974,-0.021873,-0.036389,-0.039251,-0.059583,-0.997451,4.267264,-0.563374,-0.429399,0.993962,0.590451,-0.434036,0.202160,0.161728,0.043678,-0.307350,0.248490,3.0769,0.5153,-0.7042,3.7047,
27,270,0.540000,0.216800,0.380329,0.998427,0.028118,-0.034174,-0.034429,-0.063619,-0.058721,-0.996245,4.280756,-0.608501,-0.282806,1.084856,0.681555,-0.434535,0.206396,0.161227,0.025036,-0.270701,0.271214,3.7780,0.8023,-0.4072,3.7780,
