step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
1,10,0.020000,0.008800,0.787410,1.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-1.000000,1.766709,-0.102676,0.298417,1.209569,0.416682,-0.200000,0.000000,-0.000000,-0.000000,-0.125396,0.302392,0.0000,-0.0000,0.0000,0.0000,
2,20,0.040000,0.016800,0.781241,0.999984,0.001454,0.000735,0.005427,0.000759,-0.002504,-0.999997,3.023303,-0.082874,0.405102,1.437466,0.553626,-0.182468,0.010099,0.027310,0.755278,-0.098724,0.359367,0.5793,7.5866,0.0581,7.5866,
3,30,0.060000,0.024800,0.771085,0.999972,0.002899,0.006210,0.002939,0.010628,-0.005661,-0.999927,3.985233,-0.027210,0.109063,1.055652,0.766325,-0.153824,0.033151,0.061301,1.118467,-0.172734,0.263913,-0.0247,7.6583,0.2326,9.1913,
4,40,0.080000,0.032800,0.756585,0.999830,0.005080,0.017285,-0.003838,0.031754,-0.009586,-0.999450,4.743742,0.002464,-0.006813,0.984581,0.860697,-0.131973,0.062380,0.091424,0.449598,-0.201703,0.246145,-1.8972,3.7730,1.0281,5.0728,
5,50,0.100000,0.040800,0.737715,0.999403,0.007697,0.032702,-0.008120,0.062042,-0.014595,-0.997967,5.004052,-0.016895,0.003351,0.892058,0.782241,-0.127244,0.094094,0.117878,-0.394369,-0.199162,0.223015,-1.6422,1.9293,1.1578,10.9565,
6,60,0.120000,0.048800,0.714979,0.998846,0.007443,0.047383,-0.002672,0.092523,-0.014654,-0.995603,4.606899,-0.096737,-0.025137,0.669304,0.733132,-0.156861,0.133133,0.131749,-2.398657,-0.206284,0.167326,2.3289,-0.3258,1.0278,20.3478,
7,70,0.140000,0.056800,0.688350,0.998468,0.007049,0.054736,0.003939,0.108431,-0.014491,-0.993998,4.158626,-0.170948,0.027174,0.437100,0.656282,-0.199767,0.170023,0.141736,-1.658773,-0.193207,0.109275,2.2926,-2.5682,0.6095,18.7635,
8,80,0.160000,0.064800,0.657742,0.998276,0.008456,0.057994,0.003332,0.115293,-0.016921,-0.993187,4.020109,-0.185685,0.098199,0.288731,0.589254,-0.221840,0.193846,0.146434,-0.699112,-0.175450,0.072183,1.9077,-3.7888,0.3299,15.7271,
9,90,0.180000,0.072800,0.623299,0.998133,0.011385,0.060001,-0.001145,0.119460,-0.022127,-0.992592,3.988744,-0.173166,0.024808,0.325773,0.658912,-0.227937,0.200844,0.147741,-0.048928,-0.193798,0.081443,1.6480,-4.0046,-0.0561,14.6752,
10,100,0.200000,0.080800,0.585083,0.997981,0.013815,0.061638,-0.006666,0.122878,-0.026355,-0.992072,3.939296,-0.144943,-0.140412,0.470738,0.731127,-0.224902,0.199263,0.148775,0.238705,-0.235103,0.117684,0.5751,-3.1925,0.3841,14.3279,
