step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
1,10,0.020000,0.008800,0.430736,0.999983,-0.002807,-0.002334,0.004441,-0.003261,0.004925,-0.999983,4.705936,0.063571,0.290534,1.660529,1.073172,-0.246400,0.222323,0.139309,-0.912990,-0.127367,0.415132,2.7615,-6.4830,-1.3802,6.8140,
2,20,0.040000,0.016800,0.425641,0.999921,-0.000343,-0.012432,0.001581,-0.024313,0.001373,-0.999703,6.738893,0.128332,0.146921,2.026642,1.688298,-0.152900,0.209706,0.162648,4.778797,-0.163270,0.506661,-6.4022,6.9621,1.2859,8.4183,
3,30,0.060000,0.024800,0.416980,0.999912,0.005548,-0.009886,-0.006859,-0.020506,-0.008514,-0.999753,7.482196,0.097520,-0.051572,1.522266,1.953419,-0.127837,0.211389,0.217736,-0.329575,-0.212893,0.380566,-0.5686,9.4163,1.6306,32.3127,
4,40,0.080000,0.032800,0.410908,0.999730,0.019277,-0.009678,-0.008647,-0.018751,-0.036283,-0.999166,8.152967,0.046011,-0.270761,1.399460,2.009032,-0.132443,0.201943,0.281035,-0.160131,-0.267690,0.349865,-2.1733,5.8844,1.8863,36.0000,
5,50,0.100000,0.040800,0.406363,0.999557,0.027188,-0.011384,0.004103,-0.022615,-0.052901,-0.998344,7.688474,-0.078643,-0.327083,1.044507,1.709510,-0.143283,0.202745,0.328486,-0.729909,-0.281771,0.261127,-2.6374,4.1919,1.9997,36.0000,
6,60,0.120000,0.048800,0.403741,0.999413,0.023692,-0.010222,0.022557,-0.021851,-0.048638,-0.998577,6.641652,-0.198883,-0.337783,0.635863,1.108341,-0.171315,0.220759,0.351106,-1.486801,-0.284446,0.158966,-1.0835,-0.8307,1.0657,36.0000,
7,70,0.140000,0.056800,0.403315,0.999294,0.015665,-0.005199,0.033755,-0.012566,-0.032218,-0.999402,6.194920,-0.202771,-0.112316,0.441795,0.737031,-0.212514,0.242133,0.340689,-2.191810,-0.228079,0.110449,1.1298,-3.6597,-0.7931,33.1101,
8,80,0.160000,0.064800,0.402639,0.999140,0.011497,0.000874,0.039817,-0.000252,-0.023549,-0.999723,5.959789,-0.218463,0.114031,0.364428,0.729861,-0.257449,0.249849,0.311226,-2.061260,-0.171492,0.091107,3.9730,-4.4027,-1.5368,30.0742,
9,90,0.180000,0.072800,0.401708,0.999159,0.010406,0.005469,0.039292,0.009367,-0.021268,-0.999730,5.547257,-0.236121,0.036973,0.409415,0.917975,-0.289170,0.250215,0.287190,-1.262237,-0.190757,0.102354,5.4237,-4.6782,-1.5917,28.4688,
10,100,0.200000,0.080800,0.401001,0.999341,0.011840,0.009537,0.032958,0.017468,-0.023886,-0.999562,5.121355,-0.247510,-0.243460,0.540486,1.108938,-0.307316,0.246008,0.277087,-0.729620,-0.260865,0.135122,4.5912,-3.9123,-1.0821,25.5431,
11,110,0.220000,0.088800,0.400798,0.999501,0.013511,0.014350,0.024692,0.026973,-0.027477,-0.999258,4.653814,-0.237773,-0.508902,0.626174,1.144382,-0.320661,0.241129,0.275406,-0.689723,-0.327226,0.156544,2.8285,-2.8783,0.0632,22.4261,
12,120,0.240000,0.096800,0.401122,0.999531,0.013956,0.019518,0.019003,0.037465,-0.028623,-0.998888,4.550310,-0.221010,-0.626777,0.609086,1.014290,-0.335633,0.237784,0.275619,-0.790558,-0.356694,0.152271,1.4381,-2.2056,0.2733,18.9828,
13,130,0.260000,0.104800,0.401551,0.999485,0.014231,0.023836,0.016082,0.046487,-0.029145,-0.998494,4.185497,-0.230747,-0.556739,0.573898,0.872310,-0.352407,0.233670,0.275406,-0.781681,-0.339185,0.143475,1.0439,-2.1157,-0.5968,18.1571,
14,140,0.280000,0.112800,0.401714,0.999447,0.015077,0.026287,0.013698,0.051847,-0.030707,-0.998183,3.840730,-0.263353,-0.402115,0.558231,0.785092,-0.366362,0.228592,0.271696,-0.594480,-0.300529,0.139558,1.7070,-2.2009,-1.2581,15.5284,
15,150,0.300000,0.120800,0.401626,0.999438,0.016477,0.027141,0.010712,0.053864,-0.033279,-0.997994,3.965126,-0.295205,-0.293067,0.552003,0.753055,-0.376946,0.223073,0.265138,-0.446526,-0.273267,0.138001,2.9623,-2.1235,-1.5744,12.4122,
16,160,0.320000,0.128800,0.401473,0.999443,0.018351,0.027250,0.005934,0.054285,-0.036694,-0.997851,3.998890,-0.310269,-0.321204,0.575866,0.749615,-0.384841,0.217219,0.258994,-0.335374,-0.280301,0.143967,3.8503,-1.9708,-1.7150,9.9276,
17,170,0.340000,0.136800,0.401357,0.999426,0.020153,0.027220,-0.000896,0.054465,-0.039932,-0.997717,3.937482,-0.307361,-0.460806,0.636737,0.718443,-0.391529,0.211764,0.254192,-0.302952,-0.315201,0.159184,3.7913,-1.6487,-1.6862,8.4897,
18,180,0.360000,0.144800,0.401181,0.999363,0.021737,0.027058,-0.008323,0.054504,-0.042734,-0.997599,3.849441,-0.300604,-0.614825,0.699767,0.652477,-0.398637,0.206228,0.248030,-0.348565,-0.353706,0.174942,3.0259,-0.9983,-1.6015,7.6573,
19,190,0.380000,0.152800,0.400750,0.999275,0.023054,0.026406,-0.014839,0.053654,-0.045090,-0.997541,3.801306,-0.306321,-0.696714,0.747113,0.583864,-0.406952,0.200396,0.238670,-0.410394,-0.374178,0.186778,2.2130,-0.3425,-1.4479,6.9902,
20,200,0.400000,0.160800,0.399932,0.999177,0.024421,0.024865,-0.020758,0.051100,-0.047515,-0.997563,3.818738,-0.326396,-0.694786,0.780532,0.516366,-0.415251,0.194497,0.224497,-0.392101,-0.373697,0.195133,1.8203,0.1948,-1.4006,6.0852,
21,210,0.420000,0.168800,0.398810,0.999082,0.025696,0.022291,-0.026024,0.046555,-0.049981,-0.997665,3.892950,-0.357733,-0.646936,0.801316,0.464617,-0.423320,0.189131,0.209003,-0.340527,-0.361734,0.200329,1.9995,0.5143,-1.2692,4.6570,
22,220,0.440000,0.176800,0.397401,0.999019,0.026961,0.018112,-0.030104,0.038856,-0.052592,-0.997860,3.995829,-0.398232,-0.596724,0.816965,0.460959,-0.429558,0.184403,0.194112,-0.230832,-0.349181,0.204241,2.3810,0.7525,-1.2931,3.5538,
23,230,0.460000,0.184800,0.395658,0.998985,0.028100,0.012180,-0.033031,0.027585,-0.055172,-0.998096,4.095484,-0.440830,-0.565246,0.837441,0.489302,-0.433316,0.180861,0.182300,-0.115648,-0.341311,0.209360,2.6975,0.8728,-1.2513,3.4655,
24,240,0.480000,0.192800,0.393519,0.998963,0.029029,0.004603,-0.034773,0.012919,-0.057511,-0.998261,4.177826,-0.482398,-0.546312,0.874243,0.528098,-0.434919,0.178918,0.175232,-0.021312,-0.336578,0.218561,2.8402,0.9834,-1.1599,3.3762,
25,250,0.500000,0.200800,0.390891,0.998928,0.029765,-0.004467,-0.035182,-0.004841,-0.059624,-0.998209,4.236086,-0.524316,-0.509066,0.935006,0.578176,-0.435226,0.178373,0.171648,0.046288,-0.327266,0.233752,2.8900,1.2008,-1.0025,3.2889,
26,260,0.520000,0.208800,0.387728,0.998848,0.030265,-0.014936,-0.034116,-0.025476,-0.061416,-0.997787,4.267635,-0.566958,-0.425379,1.021536,0.641457,-0.436942,0.179381,0.170149,-0.048687,-0.306345,0.255384,3.3633,1.4366,-0.6954,3.3633,
27,270,0.540000,0.216800,0.384090,0.998646,0.030348,-0.027249,-0.032291,-0.049757,-0.062400,-0.996810,4.270544,-0.610308,-0.309084,1.111437,0.740466,-0.439198,0.183248,0.170071,-0.035807,-0.277271,0.277859,4.0393,1.7187,-0.3209,4.0393,
28,280,0.560000,0.224800,0.380014,0.998201,0.029797,-0.042004,-0.030690,-0.078819,-0.062196,-0.994947,4.273191,-0.651368,-0.188486,1.181477,0.895943,-0.438601,0.191445,0.172138,0.144087,-0.247121,0.295369,4.6238,1.8115,0.2060,4.6238,
29,290,0.580000,0.232800,0.375518,0.997355,0.028735,-0.059712,-0.029867,-0.113602,-0.061059,-0.991648,4.338306,-0.690412,-0.091022,1.223503,1.119764,-0.430684,0.204417,0.180601,0.558229,-0.222756,0.305876,4.6695,1.6383,0.5806,4.6695,
30,300,0.600000,0.240800,0.370581,0.995975,0.026842,-0.080298,-0.029427,-0.154096,-0.058640,-0.986314,4.524765,-0.721317,-0.005433,1.252568,1.376352,-0.412665,0.221858,0.197493,1.034608,-0.201358,0.313142,4.1454,1.0550,1.1837,5.7445,
31,310,0.620000,0.248800,0.365240,0.993905,0.023324,-0.103348,-0.030451,-0.199322,-0.053403,-0.978478,5.210575,-0.740279,0.066909,1.268150,1.640908,-0.385247,0.246149,0.224366,1.464193,-0.183273,0.317038,3.3204,-0.0161,1.5839,7.0477,
32,320,0.640000,0.256800,0.359404,0.991038,0.017784,-0.128294,-0.032678,-0.248201,-0.044812,-0.967672,5.937223,-0.744767,0.175145,1.247251,1.919463,-0.346495,0.276152,0.260909,1.957757,-0.156214,0.311813,1.9600,-1.1360,1.8739,7.7017,
33,330,0.660000,0.264800,0.352675,0.987356,0.010370,-0.154360,-0.034546,-0.299090,-0.032909,-0.953657,6.687057,-0.741778,0.349181,1.201828,2.210827,-0.296878,0.307856,0.306135,2.370699,-0.112705,0.300457,0.6639,-2.3596,2.1084,7.4902,
34,340,0.680000,0.272800,0.344702,0.982836,0.002103,-0.181134,-0.034913,-0.350746,-0.018385,-0.936290,7.284302,-0.732569,0.568985,1.123935,2.489740,-0.246434,0.339630,0.357909,1.993390,-0.057754,0.280984,1.0218,-3.5963,2.3571,7.8219,
35,350,0.700000,0.280800,0.335596,0.976992,-0.005917,-0.210203,-0.035595,-0.405401,-0.004846,-0.914126,7.684596,-0.721326,0.690697,1.030632,2.776112,-0.206952,0.374278,0.413810,1.940288,-0.027326,0.257658,1.5655,-5.3716,2.2962,8.8562,
36,360,0.720000,0.288800,0.325366,0.969509,-0.014777,-0.242029,-0.035443,-0.464460,0.009919,-0.885538,7.931007,-0.712054,0.676001,1.008508,3.007508,-0.167403,0.409235,0.474426,1.821071,-0.031000,0.252127,1.4707,-7.1121,2.3661,11.1077,
37,370,0.740000,0.296800,0.314472,0.960571,-0.025301,-0.274967,-0.032488,-0.523878,0.028876,-0.851304,8.034658,-0.689658,0.571680,1.039365,3.184167,-0.135005,0.444815,0.534047,1.368395,-0.057080,0.259841,1.0676,-8.3486,2.5384,12.8065,
38,380,0.760000,0.304800,0.303042,0.949696,-0.036568,-0.309726,-0.028447,-0.584362,0.049869,-0.809960,8.334146,-0.649214,0.432752,1.134023,3.230630,-0.111032,0.482004,0.590222,1.086751,-0.091812,0.283506,-0.0116,-9.2646,2.2721,13.8273,
39,390,0.780000,0.312800,0.291356,0.936591,-0.046077,-0.346335,-0.026946,-0.645116,0.067124,-0.761131,8.586934,-0.607622,0.243203,1.231225,3.106875,-0.084373,0.515606,0.629413,1.804946,-0.139199,0.307806,-2.9306,-8.8517,3.6268,15.2124,
40,400,0.800000,0.320800,0.280250,0.921346,-0.052848,-0.384021,-0.029260,-0.705054,0.074475,-0.705232,8.645017,-0.575550,0.148326,1.329724,2.831891,-0.050694,0.541255,0.640362,1.398827,-0.162919,0.332431,-4.7534,-8.5380,3.7027,15.9949,
41,410,0.820000,0.328800,0.268623,0.904466,-0.060219,-0.420931,-0.033638,-0.760245,0.080371,-0.644645,8.729788,-0.541173,0.123703,1.395279,2.629368,-0.027343,0.560466,0.641578,0.922320,-0.169074,0.348820,-5.4507,-7.6897,2.0460,14.1570,
42,420,0.840000,0.336800,0.255507,0.886351,-0.061407,-0.457078,-0.041112,-0.810821,0.074561,-0.580526,8.654475,-0.528461,0.226218,1.458630,2.361546,-0.008667,0.560549,0.638881,0.205990,-0.143446,0.364658,-5.1212,-3.3091,0.7865,15.3369,
43,430,0.860000,0.344800,0.239289,0.868138,-0.032802,-0.494226,-0.031632,-0.855508,0.029325,-0.516959,8.615454,-0.459623,0.530892,1.305445,2.261176,-0.010507,0.478852,0.631531,-0.135594,-0.067277,0.326361,-3.7848,3.2338,-0.4922,29.6921,
44,440,0.880000,0.352800,0.222607,0.844895,0.002022,-0.534449,-0.022627,-0.898859,-0.023224,-0.437623,8.348498,-0.293129,0.841474,0.994809,2.280748,0.003512,0.405825,0.620769,0.828617,0.010369,0.248702,-3.3666,2.1635,-0.6599,32.2066,
45,450,0.900000,0.360800,0.204563,0.818673,0.045545,-0.571780,-0.027693,-0.931041,-0.099080,-0.351207,7.880877,-0.049931,1.005527,0.688938,2.273873,0.031462,0.356879,0.612685,1.258001,0.051382,0.172234,-2.5198,0.0172,-0.6425,26.1978,
46,460,0.920000,0.368800,0.184610,0.789729,0.101508,-0.603370,-0.044367,-0.943351,-0.204853,-0.261007,8.199582,0.235906,1.036667,0.521216,2.091104,0.063316,0.313979,0.606251,1.121570,0.059167,0.130304,-2.0404,-1.0889,-0.3184,19.9758,
47,470,0.940000,0.376800,0.163775,0.755340,0.161204,-0.632696,-0.056308,-0.938053,-0.307996,-0.158732,8.530799,0.541313,1.070521,0.613503,1.638705,0.085602,0.267209,0.589840,0.522749,0.067630,0.153376,-1.5772,-0.8000,-0.4321,17.9020,
48,480,0.960000,0.384800,0.144661,0.716030,0.209930,-0.663592,-0.053622,-0.929311,-0.367125,-0.040001,8.749167,0.809456,0.870695,0.966656,0.755204,0.099765,0.223336,0.552102,0.660557,0.017674,0.241664,-1.9549,-0.1261,-1.6708,15.1599,
49,490,0.980000,0.392800,0.143151,0.697844,0.256896,-0.663349,-0.083589,-0.889134,-0.457531,0.010309,7.917296,0.878635,0.680036,1.190188,-0.130429,0.145258,0.192970,0.481950,3.051093,-0.029991,0.297547,-8.4042,4.5279,-3.2470,22.0000,
50,500,1.000000,0.400800,0.156795,0.686118,0.280721,-0.662062,-0.110055,-0.847410,-0.530022,0.031187,6.398807,0.813939,0.876348,1.166795,-0.724083,0.189824,0.168633,0.359260,1.826313,0.019087,0.291699,-9.3339,4.6439,-2.4272,22.0000,
51,510,1.020000,0.408800,0.176436,0.673143,0.272619,-0.679540,-0.103836,-0.856926,-0.510879,0.068422,5.548472,0.718201,0.787215,0.955334,-1.223207,0.214849,0.156068,0.228932,1.183140,-0.003196,0.238833,-7.6476,5.5452,-3.8500,22.0000,
52,520,1.040000,0.416800,0.197597,0.658997,0.259241,-0.701777,-0.077629,-0.882562,-0.455970,0.114784,4.854591,0.615055,0.100767,0.507159,-1.512882,0.224785,0.123610,0.106207,0.314385,-0.174808,0.126790,-7.3110,6.5944,-4.7540,14.9315,
53,530,1.060000,0.424800,0.216079,0.643391,0.250675,-0.722586,-0.032858,-0.910865,-0.377959,0.165748,5.001683,0.547827,-0.235716,0.147936,-1.753795,0.207729,0.072853,-0.001037,-1.614191,-0.258929,0.036984,-9.0548,5.2671,-4.5816,9.0548,
54,540,1.080000,0.432800,0.229053,0.629231,0.240812,-0.738700,0.020007,-0.937358,-0.282104,0.204396,4.764961,0.663155,-0.032992,0.126791,-1.965813,0.156995,0.034403,-0.095090,-2.728017,-0.208248,0.031698,-8.3857,2.6806,-4.3649,12.4953,
55,550,1.100000,0.440800,0.239133,0.617351,0.247911,-0.744535,0.055539,-0.946608,-0.226483,0.229431,4.929134,0.810844,0.188156,0.240344,-2.152696,0.112873,-0.009895,-0.160016,-1.869650,-0.152961,0.060086,-6.8292,4.5102,-5.6004,9.5543,
56,560,1.120000,0.448800,0.247821,0.606948,0.271317,-0.743867,0.068287,-0.941050,-0.226406,0.251328,5.601349,0.861511,0.357416,0.387292,-2.240396,0.088792,-0.048663,-0.212560,-0.845869,-0.110646,0.096823,-5.9838,5.4969,-5.6758,11.8840,
57,570,1.140000,0.456800,0.254693,0.594479,0.300397,-0.742596,0.070050,-0.926663,-0.250857,0.279940,5.690326,0.832958,0.523189,0.541912,-2.273347,0.076430,-0.064074,-0.265921,-0.510685,-0.069203,0.135478,-4.8463,5.2245,-4.5404,10.8409,
58,580,1.160000,0.464800,0.258532,0.578629,0.329899,-0.742378,0.072323,-0.908681,-0.272779,0.316054,5.366954,0.761571,0.521301,0.548543,-2.249579,0.064063,-0.058738,-0.319808,-0.683891,-0.069675,0.137136,-2.9721,4.6731,-3.5034,9.9838,
59,590,1.180000,0.472800,0.258696,0.561141,0.356330,-0.742893,0.079119,-0.891802,-0.281745,0.353991,4.859976,0.651634,0.419812,0.425086,-2.173897,0.042049,-0.036792,-0.369501,-1.264286,-0.095047,0.106272,-1.4553,3.1448,-2.3564,10.0224,
60,600,1.200000,0.480800,0.256485,0.544586,0.378222,-0.742823,0.092670,-0.879904,-0.275269,0.387294,4.961520,0.567896,0.325127,0.249402,-2.176411,0.005920,-0.011244,-0.412971,-2.113378,-0.118718,0.062351,0.1411,1.7361,-1.1645,9.6618,
61,610,1.220000,0.488800,0.254588,0.533694,0.395276,-0.738676,0.115264,-0.879254,-0.253463,0.403323,4.974833,0.490979,0.254028,0.044271,-2.182095,-0.045786,0.009955,-0.450044,-2.886450,-0.136493,0.011068,2.1417,-0.1317,-0.5931,10.5238,
62,620,1.240000,0.496800,0.251274,0.531711,0.406677,-0.729976,0.137961,-0.887701,-0.231751,0.397842,4.756114,0.410741,0.254382,-0.037103,-2.124414,-0.107901,0.037797,-0.485784,-2.783539,-0.136404,-0.009276,3.3176,-3.0145,0.5684,12.4249,
63,630,1.260000,0.504800,0.245404,0.536689,0.410996,-0.720399,0.155153,-0.899803,-0.217864,0.378008,4.381992,0.349012,0.399835,0.019972,-2.006707,-0.167300,0.068963,-0.521063,-2.382427,-0.100041,0.004993,4.5005,-4.5111,1.7050,14.8638,
64,640,1.280000,0.512800,0.237349,0.544105,0.412693,-0.710923,0.167995,-0.911432,-0.210018,0.353815,4.550356,0.317281,0.643966,0.150722,-1.830710,-0.209801,0.093761,-0.543497,-1.298542,-0.039009,0.037680,5.2406,-4.1948,2.1132,17.8231,
65,650,1.300000,0.520800,0.228945,0.550213,0.414358,-0.702550,0.178876,-0.920583,-0.204941,0.332455,4.515593,0.331895,1.044924,0.252765,-1.610916,-0.218287,0.103476,-0.548584,0.515280,0.061231,0.063191,4.6054,-2.2735,2.6885,20.8554,
66,660,1.320000,0.528800,0.220802,0.554913,0.418798,-0.694044,0.187036,-0.926339,-0.205407,0.315759,4.328567,0.416449,1.606713,0.250213,-1.338033,-0.182480,0.104540,-0.533969,2.491286,0.201678,0.062553,3.5744,-1.1837,2.5788,22.0000,
