step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
1,10,0.020000,0.008800,0.419054,1.000000,-0.000002,0.000609,-0.000000,0.000910,0.000003,-1.000000,1.302407,-0.122948,-0.452216,0.706977,0.275212,-0.198162,-0.000334,0.000206,0.115571,-0.313054,0.176744,-0.2285,0.0530,-0.0203,2.5784,
2,20,0.040000,0.016800,0.417358,0.999991,-0.001122,0.003830,0.001329,0.006398,0.001995,-0.999978,2.573830,-0.223632,-0.793952,1.223403,0.440341,-0.187356,0.001005,0.010999,0.342089,-0.398488,0.305851,-4.2841,5.1718,0.7603,5.1718,
3,30,0.060000,0.024800,0.416017,0.999885,-0.002360,0.013680,0.006127,0.024865,0.004444,-0.999681,3.508881,-0.278538,-0.902181,1.291668,0.443966,-0.181792,0.001881,0.025510,-0.572128,-0.425545,0.322917,-5.6427,9.0525,2.4102,9.0525,
4,40,0.080000,0.032800,0.418427,0.999549,-0.001462,0.027430,0.012159,0.051757,0.002906,-0.998655,4.067023,-0.280286,-0.506110,1.116287,0.333167,-0.189970,0.001160,0.032479,-0.388017,-0.326527,0.279072,-6.4852,10.1671,1.6648,10.1671,
5,50,0.100000,0.040800,0.420997,0.998826,0.000029,0.045855,0.015603,0.087413,-0.001352,-0.996171,4.298940,-0.202610,0.200174,0.868612,0.171687,-0.196017,-0.007300,0.046830,-0.601346,-0.149956,0.217153,-3.0133,9.0613,-0.3973,9.0613,
6,60,0.120000,0.048800,0.422813,0.997488,-0.003351,0.068910,0.016034,0.132667,0.003480,-0.991155,4.270415,-0.090419,0.931322,0.783716,0.047573,-0.205723,-0.014844,0.053754,-0.640553,0.032831,0.195929,2.6338,7.5495,-0.3460,7.5495,
7,70,0.140000,0.056800,0.423891,0.995446,-0.011776,0.093557,0.013989,0.181790,0.019116,-0.983152,4.205564,-0.013298,1.272948,0.895307,0.005637,-0.219143,-0.018962,0.051893,-1.672778,0.118237,0.223827,10.0684,6.6111,-0.3253,10.7714,
8,80,0.160000,0.064800,0.424747,0.993443,-0.018318,0.111794,0.015429,0.220076,0.032124,-0.974954,4.116258,0.005228,1.317187,1.078167,0.037790,-0.265611,-0.026151,0.033935,-2.162356,0.129297,0.269542,14.7590,8.2867,0.2664,14.7590,
9,90,0.180000,0.072800,0.425373,0.992580,-0.021382,0.118551,0.016535,0.235547,0.038094,-0.971116,4.007526,-0.018225,1.165969,1.234392,0.076209,-0.292788,-0.036735,0.022479,-0.728471,0.091492,0.308598,13.7552,9.7138,0.1495,13.7552,
10,100,0.200000,0.080800,0.425499,0.992790,-0.022468,0.116402,0.017727,0.232875,0.040484,-0.971664,3.922575,-0.073844,0.946406,1.316812,0.057549,-0.293648,-0.042281,0.018896,0.413823,0.036602,0.329203,10.9335,10.9247,0.0382,12.7412,
11,110,0.220000,0.088800,0.425226,0.993629,-0.021586,0.108832,0.019779,0.218885,0.038937,-0.974974,3.843564,-0.135788,0.738214,1.315933,-0.011314,-0.277936,-0.047990,0.019278,1.016906,-0.015446,0.328983,7.9108,11.7836,-0.2920,11.9472,
12,120,0.240000,0.096800,0.424595,0.994667,-0.018833,0.098782,0.022931,0.199425,0.034073,-0.979321,3.759951,-0.192543,0.561679,1.258602,-0.063778,-0.255151,-0.055370,0.019789,1.226081,-0.059580,0.314651,5.3520,12.3107,-0.8773,12.3107,
13,130,0.260000,0.104800,0.423386,0.995723,-0.011267,0.088495,0.024029,0.178799,0.019504,-0.983692,3.662022,-0.257382,0.396227,1.210493,-0.046100,-0.230067,-0.068605,0.024946,1.218564,-0.100943,0.302623,3.2868,12.2268,-1.5426,12.2268,
14,140,0.280000,0.112800,0.422829,0.996508,-0.006717,0.079038,0.026089,0.159591,0.009871,-0.987134,3.563447,-0.311964,0.277665,1.159887,-0.006173,-0.207710,-0.071649,0.026800,1.010274,-0.130584,0.289972,1.6876,11.1131,-1.2003,11.1131,
15,150,0.300000,0.120800,0.422853,0.997025,-0.004921,0.071867,0.027415,0.144764,0.006066,-0.989448,3.583470,-0.346044,0.209370,1.118491,0.041032,-0.190716,-0.066432,0.027891,0.718677,-0.147657,0.279623,0.7260,10.1354,-1.0032,11.0478,
16,160,0.320000,0.128800,0.423158,0.997357,-0.004318,0.067389,0.026811,0.135334,0.005040,-0.990787,3.638241,-0.360192,0.181214,1.084841,0.083889,-0.179310,-0.057681,0.030964,0.467264,-0.154697,0.271210,0.2487,9.4091,-0.9077,11.3677,
17,170,0.340000,0.136800,0.423500,0.997562,-0.003879,0.065210,0.024553,0.130576,0.004601,-0.991428,3.691999,-0.355366,0.196283,1.054037,0.126467,-0.172293,-0.048342,0.036018,0.282978,-0.150929,0.263509,0.1034,8.9014,-0.8538,11.7476,
18,180,0.360000,0.144800,0.423713,0.997671,-0.002930,0.064692,0.021437,0.129226,0.003278,-0.991610,3.883402,-0.332438,0.264046,1.021153,0.161485,-0.168209,-0.040271,0.042082,0.171541,-0.133989,0.255288,0.2611,8.5653,-0.7591,12.0940,
19,190,0.380000,0.152800,0.423715,0.997713,-0.000863,0.065167,0.017939,0.129966,-0.000122,-0.991518,4.099410,-0.299727,0.338426,0.998951,0.203561,-0.166735,-0.034673,0.048211,0.071639,-0.115393,0.249738,0.8749,8.3573,-0.7397,12.2850,
20,200,0.400000,0.160800,0.423517,0.997748,0.002917,0.065693,0.013218,0.130975,-0.006784,-0.991362,4.331724,-0.271465,0.374937,1.002595,0.255776,-0.168260,-0.031650,0.055840,-0.063379,-0.106266,0.250649,1.6811,8.2666,-0.7642,12.0422,
21,210,0.420000,0.168800,0.423510,0.997766,0.006571,0.066046,0.007576,0.131612,-0.013681,-0.991207,4.552506,-0.249371,0.359849,1.018846,0.283393,-0.173246,-0.027599,0.064055,-0.294910,-0.110038,0.254712,2.4518,7.7883,-0.6649,11.2652,
22,220,0.440000,0.176800,0.423775,0.997763,0.008960,0.066239,0.001133,0.132216,-0.017677,-0.991063,4.756724,-0.246544,0.235620,1.067264,0.291554,-0.182010,-0.018607,0.071842,-0.374168,-0.141095,0.266816,2.7204,7.4551,-0.5854,10.4058,
23,230,0.460000,0.184800,0.423919,0.997783,0.011399,0.065392,-0.004871,0.130879,-0.021685,-0.991161,4.964078,-0.267146,-0.060052,1.157435,0.272512,-0.191433,-0.008687,0.077087,-0.375257,-0.215013,0.289359,2.0730,7.5132,-0.4474,11.3145,
24,240,0.480000,0.192800,0.423858,0.997803,0.013881,0.063759,-0.011434,0.127938,-0.025848,-0.991445,5.162642,-0.301347,-0.513772,1.272737,0.216876,-0.200709,0.003171,0.072053,-0.334538,-0.328443,0.318184,0.0727,7.6133,0.5482,11.8233,
25,250,0.500000,0.200800,0.423730,0.997763,0.016724,0.062173,-0.018006,0.124964,-0.030596,-0.991689,5.313316,-0.323340,-0.965071,1.399632,0.156359,-0.212265,0.015337,0.060885,-0.572845,-0.441268,0.349908,-2.6261,8.2641,0.5928,11.8776,
26,260,0.520000,0.208800,0.423692,0.997611,0.020693,0.061719,-0.023123,0.124129,-0.037800,-0.991546,5.417669,-0.323930,-1.315897,1.498002,0.111794,-0.230630,0.027186,0.053377,-1.176577,-0.528974,0.374501,-4.5543,8.2500,-0.5220,13.5134,
27,270,0.540000,0.216800,0.423494,0.997382,0.024997,0.062663,-0.026034,0.126014,-0.045703,-0.990975,5.465014,-0.302353,-1.538761,1.541050,0.073610,-0.262376,0.055517,0.053524,-1.792355,-0.584690,0.385263,-5.3094,6.9595,-0.7083,14.0509,
28,280,0.560000,0.224800,0.423413,0.997008,0.030747,0.064743,-0.028956,0.130429,-0.056371,-0.989854,5.473921,-0.256081,-1.618464,1.525556,0.039276,-0.302615,0.094956,0.050264,-2.149606,-0.604616,0.381389,-5.2378,5.4954,-0.6255,13.3737,
29,290,0.580000,0.232800,0.423734,0.996596,0.035873,0.066806,-0.032343,0.135108,-0.066311,-0.988609,5.522238,-0.188929,-1.559078,1.466273,0.006288,-0.346650,0.142054,0.043426,-2.220784,-0.589770,0.366568,-4.4078,3.4965,-0.4279,12.4148,
30,300,0.600000,0.240800,0.424515,0.996199,0.040470,0.067639,-0.037079,0.137704,-0.074712,-0.987652,5.616633,-0.109998,-1.461323,1.367109,-0.015531,-0.387205,0.188970,0.034292,-1.901343,-0.565331,0.341777,-3.2249,2.0073,-0.2918,10.0347,
31,310,0.620000,0.248800,0.425153,0.995833,0.044510,0.066582,-0.043611,0.136791,-0.082204,-0.987183,5.682789,-0.030865,-1.381470,1.279406,-0.018017,-0.419449,0.230803,0.024384,-1.448367,-0.545368,0.319851,-2.2039,0.3858,-0.1171,7.5338,
32,320,0.640000,0.256800,0.425377,0.995532,0.046523,0.063918,-0.051638,0.132640,-0.085879,-0.987437,5.719926,0.043124,-1.327983,1.247239,0.002847,-0.443191,0.267368,0.015249,-1.056041,-0.531996,0.311810,-1.4812,-0.9300,0.0502,6.3910,
33,330,0.660000,0.264800,0.425081,0.995266,0.045784,0.060362,-0.060874,0.126432,-0.084206,-0.988395,5.744752,0.110480,-1.265065,1.266246,0.028163,-0.460369,0.298019,0.008982,-0.767129,-0.516266,0.316562,-0.9981,-1.6287,0.1627,6.7876,
34,340,0.680000,0.272800,0.424223,0.994953,0.042212,0.056572,-0.071314,0.119341,-0.076907,-0.989870,5.775838,0.170813,-1.185259,1.315974,0.047301,-0.472497,0.322646,0.006017,-0.530339,-0.496315,0.328993,-0.5176,-1.7842,0.2106,6.9691,
35,350,0.700000,0.280800,0.422807,0.994515,0.036012,0.052936,-0.082709,0.112005,-0.064347,-0.991622,5.829466,0.225850,-1.075973,1.389341,0.058962,-0.480235,0.341671,0.005508,-0.307679,-0.468993,0.347335,-0.0209,-1.5876,0.2090,6.9895,
36,360,0.720000,0.288800,0.421738,0.993571,0.033254,0.049416,-0.096272,0.105213,-0.056536,-0.992841,5.927372,0.271664,-0.963464,1.481098,0.078380,-0.477616,0.348038,0.008034,0.378328,-0.440866,0.370275,-0.3088,0.1784,0.0166,6.8745,
37,370,0.740000,0.296800,0.421212,0.992299,0.032963,0.045917,-0.110220,0.099071,-0.055684,-0.993521,6.061705,0.295973,-0.808265,1.592003,0.096072,-0.469115,0.347482,0.011286,0.416652,-0.402066,0.398001,0.2225,0.5027,0.0548,7.1857,
38,380,0.760000,0.304800,0.420286,0.991106,0.029223,0.042157,-0.122791,0.091627,-0.048641,-0.994605,6.220453,0.296816,-0.628798,1.711140,0.114800,-0.458449,0.354164,0.014707,0.601215,-0.357199,0.427785,0.7897,0.6242,0.0684,6.9953,
39,390,0.780000,0.312800,0.418882,0.990128,0.022414,0.037816,-0.133097,0.081932,-0.035842,-0.995993,6.379884,0.284458,-0.431785,1.794190,0.121420,-0.443029,0.365021,0.018547,0.870029,-0.307946,0.448547,1.2699,1.0178,0.0491,7.7783,
40,400,0.800000,0.320800,0.417079,0.989359,0.013801,0.033304,-0.140958,0.070911,-0.019670,-0.997289,6.526339,0.274126,-0.258729,1.824558,0.111873,-0.422473,0.375742,0.022193,1.118701,-0.264682,0.456140,1.7578,1.4374,0.0032,8.4155,
41,410,0.820000,0.328800,0.414926,0.988751,0.004338,0.029380,-0.146595,0.060346,-0.001829,-0.998176,6.650285,0.273967,-0.106351,1.823361,0.077143,-0.398270,0.383653,0.024642,1.271068,-0.226588,0.455840,2.1010,1.6782,-0.0548,8.8247,
42,420,0.840000,0.336800,0.412457,0.988235,-0.005604,0.026751,-0.150479,0.051891,0.017145,-0.998506,6.755477,0.286215,0.013088,1.805274,0.023970,-0.372157,0.388125,0.024613,1.347276,-0.196728,0.451318,2.3462,1.7834,-0.1318,9.0735,
43,430,0.860000,0.344800,0.409756,0.987771,-0.015959,0.025935,-0.152911,0.046686,0.037354,-0.998211,6.851817,0.311457,0.105835,1.784870,-0.037150,-0.345510,0.389310,0.021432,1.352518,-0.173541,0.446218,2.4347,1.8556,-0.2177,9.2138,
44,440,0.880000,0.352800,0.408277,0.988188,-0.022061,0.028680,-0.148915,0.049028,0.052475,-0.997418,6.920320,0.371336,0.327197,1.731233,-0.153354,-0.327556,0.389088,0.024449,0.175721,-0.118201,0.432808,4.3569,2.7593,-0.9797,9.4252,
45,450,0.900000,0.360800,0.409941,0.988699,-0.017430,0.035839,-0.144517,0.064129,0.045499,-0.996904,6.971730,0.421661,0.463871,1.694600,-0.225248,-0.333968,0.368514,0.023041,-0.462395,-0.084032,0.423650,7.1666,3.4340,-1.8138,9.5004,
46,460,0.920000,0.368800,0.411826,0.988389,-0.012733,0.043914,-0.144904,0.081486,0.038660,-0.995924,7.052231,0.452772,0.490492,1.655066,-0.246441,-0.342897,0.349608,0.021013,-0.359472,-0.077377,0.413766,8.3051,3.5666,-2.0461,9.3670,
47,470,0.940000,0.376800,0.413046,0.987311,-0.007878,0.051005,-0.150176,0.097003,0.031531,-0.994784,7.155519,0.486568,0.433730,1.593967,-0.229779,-0.343556,0.333895,0.008282,0.253808,-0.091567,0.398492,7.6046,3.4042,-0.7685,9.2185,
48,480,0.960000,0.384800,0.413563,0.985934,-0.002264,0.056946,-0.157117,0.110385,0.023237,-0.993617,7.267033,0.521341,0.361122,1.512768,-0.196035,-0.338558,0.318370,-0.007561,0.259219,-0.109719,0.378192,7.0209,3.6332,-0.4259,9.0640,
49,490,0.980000,0.392800,0.413816,0.984700,0.003849,0.062209,-0.162730,0.122693,0.013540,-0.992352,7.348980,0.555818,0.314088,1.440961,-0.167166,-0.335702,0.299623,-0.018486,0.084944,-0.121478,0.360240,6.6521,3.7932,-0.1742,8.8622,
50,500,1.000000,0.400800,0.414085,0.983837,0.009482,0.066685,-0.165914,0.133420,0.004374,-0.991050,7.401939,0.588685,0.271822,1.383490,-0.153986,-0.335622,0.278816,-0.025033,-0.009594,-0.132045,0.345872,6.4387,4.0496,-0.1237,8.6714,
51,510,1.020000,0.408800,0.414278,0.983112,0.015225,0.070380,-0.168243,0.142699,-0.005284,-0.989752,7.442368,0.619129,0.227852,1.335334,-0.142911,-0.336464,0.256213,-0.028556,-0.031552,-0.143037,0.333833,6.1799,4.4052,-0.0701,8.4866,
52,520,1.040000,0.416800,0.414429,0.982353,0.022626,0.072844,-0.170777,0.150264,-0.017627,-0.988489,7.474637,0.644525,0.168821,1.299589,-0.108678,-0.336647,0.230679,-0.030176,0.072516,-0.157795,0.324897,5.6995,5.4216,-0.1120,8.2918,
53,530,1.060000,0.424800,0.414878,0.981301,0.033590,0.072781,-0.174994,0.154406,-0.038433,-0.987260,7.497237,0.651994,0.065823,1.265366,-0.039619,-0.334747,0.199089,-0.030918,0.136452,-0.183544,0.316342,5.1039,5.9864,0.1812,8.0771,
