step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
1,10,0.020000,0.008800,0.419237,1.000000,-0.000004,0.000702,-0.000000,0.001060,0.000006,-0.999999,1.301966,-0.124068,-0.454715,0.707482,0.277179,-0.197682,-0.000224,0.000086,0.063160,-0.313679,0.176870,-0.1643,0.0401,-0.0019,2.3355,
2,20,0.040000,0.016800,0.417834,0.999994,0.000438,0.003530,-0.000585,0.005971,-0.000770,-0.999982,2.560185,-0.230536,-0.760882,1.215168,0.436540,-0.186933,-0.000466,0.009290,0.342647,-0.390220,0.303792,-4.3163,5.3408,1.0955,5.3408,
3,30,0.060000,0.024800,0.416287,0.999921,-0.000517,0.012108,0.003319,0.021813,-0.000004,-0.999762,3.493437,-0.285933,-0.847441,1.279694,0.441713,-0.178421,0.003186,0.025094,-0.450195,-0.411860,0.319923,-5.6787,7.4181,0.9938,8.9863,
4,40,0.080000,0.032800,0.418265,0.999638,-0.001030,0.025055,0.009779,0.047133,0.001935,-0.998887,4.056668,-0.289464,-0.458687,1.123950,0.347349,-0.185676,0.008866,0.029881,-0.453438,-0.314672,0.280987,-6.1054,9.5431,1.9631,9.5431,
5,50,0.100000,0.040800,0.420902,0.999013,-0.002123,0.042241,0.013597,0.080524,0.002642,-0.996749,4.294989,-0.210907,0.204360,0.889737,0.193696,-0.193076,0.006267,0.040315,-0.521923,-0.148910,0.222434,-2.8650,8.6168,1.0840,8.6168,
6,60,0.120000,0.048800,0.423796,0.997791,-0.010694,0.064179,0.013410,0.123611,0.017291,-0.992180,4.279485,-0.093215,0.888354,0.808311,0.081714,-0.201195,0.004091,0.041637,-0.613486,0.022088,0.202078,2.4888,6.5299,0.2215,12.6448,
7,70,0.140000,0.056800,0.426584,0.995642,-0.028421,0.088073,0.011510,0.171270,0.050782,-0.983914,4.223011,-0.006042,1.165130,0.969681,0.069464,-0.212612,0.010250,0.040291,-1.225476,0.091283,0.242420,8.8792,5.0530,-0.1063,9.8603,
8,80,0.160000,0.064800,0.429077,0.993224,-0.044669,0.106689,0.011296,0.210247,0.083806,-0.974050,4.140672,0.022477,1.169615,1.190507,0.112882,-0.256778,0.014076,0.026147,-2.117024,0.092404,0.297627,13.6174,6.8971,0.5838,13.6174,
9,90,0.180000,0.072800,0.430032,0.992454,-0.046718,0.113139,0.007209,0.225017,0.092590,-0.969946,4.022262,-0.003771,0.980841,1.345940,0.170765,-0.279319,0.000513,0.021642,-0.267071,0.045210,0.336485,11.5523,10.8250,0.0703,11.9762,
10,100,0.200000,0.080800,0.428272,0.993477,-0.036250,0.108117,-0.000495,0.216428,0.074253,-0.973471,3.909662,-0.074037,0.774736,1.370651,0.131691,-0.263080,-0.017968,0.020148,1.286412,-0.006316,0.342663,7.3191,12.0940,0.1271,12.0940,
11,110,0.220000,0.088800,0.426360,0.994890,-0.025815,0.097605,0.000644,0.196380,0.053160,-0.979086,3.832448,-0.157783,0.601446,1.326447,0.034875,-0.234665,-0.036955,0.026053,1.442354,-0.049638,0.331612,4.6869,12.6371,-0.2020,12.6371,
12,120,0.240000,0.096800,0.424874,0.996081,-0.017171,0.086666,0.003992,0.174736,0.034987,-0.983994,3.756268,-0.232055,0.447683,1.268419,-0.052057,-0.207065,-0.051636,0.028918,1.251701,-0.088079,0.317105,2.8452,12.4069,-0.8042,12.4069,
13,130,0.260000,0.104800,0.424343,0.996890,-0.012703,0.077540,0.006037,0.156426,0.024963,-0.987374,3.663265,-0.298916,0.292351,1.201780,-0.055335,-0.185383,-0.056152,0.030614,0.993801,-0.126912,0.300445,1.4284,11.1625,-1.3741,11.1625,
