step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
1,10,0.020000,0.011000,0.419054,1.000000,-0.000002,0.000609,-0.000000,0.000910,0.000003,-1.000000,1.300936,-0.122830,-0.451543,0.706389,0.274824,-0.198162,-0.000334,0.000206,0.115571,-0.312886,0.176597,-0.2285,0.0530,-0.0203,2.5784,
2,20,0.040000,0.021000,0.417359,0.999991,-0.001117,0.003828,0.001330,0.006396,0.001988,-0.999978,2.570533,-0.223418,-0.792733,1.221857,0.438926,-0.187399,0.000996,0.010977,0.339863,-0.398183,0.305464,-4.2744,5.1686,0.7597,5.1686,
3,30,0.060000,0.031000,0.416017,0.999885,-0.002359,0.013666,0.006127,0.024841,0.004438,-0.999682,3.503774,-0.278323,-0.900908,1.288714,0.440862,-0.181959,0.001869,0.025435,-0.576489,-0.425227,0.322178,-5.6220,9.0399,2.4041,9.0399,
4,40,0.080000,0.041000,0.418415,0.999550,-0.001479,0.027402,0.012142,0.051706,0.002941,-0.998658,4.060071,-0.280190,-0.504162,1.110521,0.327427,-0.190344,0.001187,0.032264,-0.399741,-0.326041,0.277630,-6.4469,10.1435,1.6600,10.1435,
5,50,0.100000,0.051000,0.420998,0.998823,-0.000039,0.045770,0.016052,0.087256,-0.001246,-0.996185,4.289253,-0.201843,0.209936,0.862817,0.161661,-0.196788,-0.007264,0.045211,-0.548294,-0.147516,0.215704,-3.0551,9.2198,0.1578,9.2198,
6,60,0.120000,0.061000,0.422761,0.997491,-0.003446,0.068700,0.016742,0.132285,0.003568,-0.991205,4.259908,-0.089415,0.957927,0.772168,0.032167,-0.207177,-0.014454,0.052603,-0.635621,0.039482,0.193042,2.7433,7.4708,-0.3275,7.4708,
7,70,0.140000,0.071000,0.423836,0.995469,-0.011613,0.093212,0.014764,0.181156,0.018674,-0.983277,4.194635,-0.012329,1.310119,0.874243,-0.013436,-0.220755,-0.019179,0.050404,-1.665268,0.127530,0.218561,10.3050,6.5572,-0.3886,10.7892,
8,80,0.160000,0.081000,0.424673,0.993500,-0.018205,0.111161,0.016410,0.218927,0.031694,-0.975226,4.104915,0.006585,1.348952,1.050614,0.020086,-0.266452,-0.026532,0.032245,-2.111728,0.137238,0.262654,14.9870,8.1497,0.1966,14.9870,
9,90,0.180000,0.091000,0.425283,0.992682,-0.021275,0.117505,0.017957,0.233641,0.037586,-0.971596,3.995429,-0.016819,1.180198,1.200823,0.063744,-0.292579,-0.037978,0.020362,-0.674372,0.095049,0.300206,13.9061,9.6214,0.1143,13.9061,
10,100,0.200000,0.101000,0.425388,0.992940,-0.022443,0.114811,0.019636,0.229945,0.040053,-0.972379,3.902426,-0.071688,0.945916,1.275560,0.050930,-0.292294,-0.044061,0.016314,0.473204,0.036479,0.318890,10.9105,10.7579,0.0562,12.6135,
11,110,0.220000,0.111000,0.425074,0.993811,-0.021585,0.106674,0.022225,0.214848,0.038512,-0.975888,3.817364,-0.131281,0.724364,1.263207,-0.009986,-0.275565,-0.050308,0.016174,1.062475,-0.018909,0.315802,7.7676,11.5940,-0.2077,11.7299,
12,120,0.240000,0.121000,0.424250,0.994886,-0.017792,0.096140,0.025343,0.194361,0.032126,-0.980404,3.727439,-0.186753,0.535041,1.203328,-0.051290,-0.251761,-0.059745,0.017232,1.311461,-0.066240,0.300832,5.0184,12.4430,-0.9946,12.4430,
13,130,0.260000,0.131000,0.422838,0.995937,-0.009295,0.085508,0.026689,0.172910,0.015321,-0.984818,3.623390,-0.249455,0.371462,1.153951,-0.031215,-0.226118,-0.075340,0.022689,1.225348,-0.107134,0.288488,2.9583,12.0761,-1.3413,12.0761,
14,140,0.280000,0.141000,0.422234,0.996684,-0.004636,0.075864,0.029068,0.153244,0.005453,-0.988173,3.530503,-0.301098,0.265690,1.105533,0.010288,-0.203920,-0.078918,0.024190,0.997501,-0.133578,0.276383,1.4073,10.9471,-0.9997,10.9471,
15,150,0.300000,0.151000,0.422217,0.997177,-0.002661,0.068616,0.030363,0.138215,0.001375,-0.990401,3.710206,-0.330662,0.217383,1.063810,0.056006,-0.187283,-0.074436,0.025515,0.704730,-0.145654,0.265952,0.5541,10.0338,-0.8409,10.3246,
