step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
1,10,0.020000,0.011111,0.419054,1.000000,-0.000002,0.000609,-0.000000,0.000910,0.000003,-1.000000,1.300860,-0.122824,-0.451509,0.706360,0.274805,-0.198162,-0.000334,0.000206,0.115571,-0.312877,0.176590,-0.2285,0.0530,-0.0203,2.5784,
2,20,0.040000,0.021212,0.417359,0.999991,-0.001117,0.003828,0.001330,0.006396,0.001987,-0.999978,2.570364,-0.223407,-0.792672,1.221780,0.438854,-0.187401,0.000996,0.010976,0.339750,-0.398168,0.305445,-4.2739,5.1684,0.7596,5.1684,
3,30,0.060000,0.031313,0.416018,0.999885,-0.002359,0.013666,0.006127,0.024839,0.004438,-0.999682,3.503514,-0.278311,-0.900842,1.288565,0.440705,-0.181967,0.001868,0.025431,-0.576709,-0.425210,0.322141,-5.6210,9.0393,2.4038,9.0393,
4,40,0.080000,0.041414,0.418415,0.999550,-0.001479,0.027400,0.012141,0.051704,0.002942,-0.998658,4.059718,-0.280185,-0.504061,1.110229,0.327138,-0.190363,0.001188,0.032254,-0.400333,-0.326015,0.277557,-6.4449,10.1423,1.6598,10.1423,
5,50,0.100000,0.051515,0.420996,0.998823,-0.000038,0.045767,0.016051,0.087250,-0.001248,-0.996186,4.288805,-0.201836,0.210436,0.862243,0.161156,-0.196825,-0.007266,0.045186,-0.549170,-0.147391,0.215561,-3.0519,9.2181,0.1575,9.2181,
6,60,0.120000,0.061616,0.422758,0.997491,-0.003438,0.068693,0.016742,0.132270,0.003555,-0.991207,4.259360,-0.089382,0.959291,0.771146,0.031385,-0.207238,-0.014463,0.052562,-0.636571,0.039823,0.192787,2.7503,7.4680,-0.3290,7.4680,
7,70,0.140000,0.071717,0.423832,0.995471,-0.011598,0.093198,0.014770,0.181128,0.018643,-0.983283,4.194091,-0.012269,1.312273,0.872790,-0.014447,-0.220838,-0.019204,0.050342,-1.664942,0.128068,0.218197,10.3172,6.5513,-0.3921,10.7917,
8,80,0.160000,0.081818,0.424669,0.993503,-0.018192,0.111135,0.016424,0.218878,0.031666,-0.975238,4.104393,0.006679,1.350973,1.048967,0.019131,-0.266500,-0.026562,0.032174,-2.109554,0.137743,0.262242,15.0014,8.1399,0.1921,15.0014,
9,90,0.180000,0.091919,0.425277,0.992686,-0.021267,0.117465,0.017986,0.233565,0.037564,-0.971615,3.994748,-0.016674,1.181426,1.198936,0.063085,-0.292585,-0.038018,0.020272,-0.672404,0.095357,0.299734,13.9185,9.6123,0.1113,13.9185,
10,100,0.200000,0.102020,0.425380,0.992946,-0.022436,0.114751,0.019685,0.229834,0.040031,-0.972406,3.901388,-0.071448,0.946247,1.273207,0.050581,-0.292263,-0.044139,0.016203,0.475103,0.036562,0.318302,10.9159,10.7494,0.0562,12.6093,
