step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
1,10,0.020000,0.005584,0.419049,1.000000,-0.000002,0.000525,-0.000000,0.000775,0.000003,-1.000000,1.523449,0.176181,-0.447614,0.433334,0.228984,-0.198010,-0.000325,0.000234,0.132113,-0.311904,0.108333,-0.2579,0.0511,-0.0254,2.5868,
2,20,0.040000,0.010660,0.417820,0.999977,0.002117,0.006274,-0.001447,0.010399,-0.003859,-0.999938,2.413063,0.395892,0.395741,0.610448,0.652056,-0.177913,-0.008593,0.008813,0.729860,-0.101065,0.152612,-5.1145,4.2736,0.7275,5.4213,
3,30,0.060000,0.015736,0.417234,0.999788,0.007417,0.017648,-0.007543,0.032607,-0.013104,-0.999382,2.921409,0.449782,1.203702,0.612407,0.979293,-0.142965,-0.028639,0.039454,1.237911,0.100926,0.153102,-0.5999,7.6616,1.4006,7.6616,
4,40,0.080000,0.020812,0.419693,0.999394,0.010811,0.026475,-0.019868,0.051919,-0.020294,-0.998445,3.095367,0.330067,1.402558,0.475917,0.855625,-0.104563,-0.050037,0.080498,1.990827,0.150640,0.118979,3.1784,7.5657,1.7900,7.5657,
5,50,0.100000,0.025888,0.421529,0.999002,0.010590,0.030963,-0.030412,0.061924,-0.019551,-0.997889,3.253367,0.182654,1.183172,0.462260,0.554446,-0.071345,-0.065727,0.114704,1.498611,0.095793,0.115565,4.4116,6.5111,0.7243,6.5111,
6,60,0.120000,0.030964,0.422224,0.998746,0.009100,0.033683,-0.035907,0.067501,-0.016148,-0.997589,3.452152,0.066668,0.779516,0.616298,0.270886,-0.052803,-0.074997,0.131422,0.754732,-0.005121,0.154074,3.3258,5.9811,-0.6634,5.9811,
7,70,0.140000,0.036041,0.422147,0.998544,0.007814,0.037830,-0.037656,0.075158,-0.012966,-0.997087,3.599274,0.061313,0.538059,0.681393,0.139205,-0.045284,-0.075832,0.132589,0.182191,-0.065485,0.170348,0.9316,6.8989,-1.7238,7.8656,
8,80,0.160000,0.041117,0.421757,0.998272,0.008057,0.045051,-0.036857,0.088894,-0.012686,-0.995960,3.664124,0.100783,0.420097,0.576440,0.129869,-0.050119,-0.077088,0.124350,-0.616656,-0.094976,0.144110,0.4640,7.5173,-1.8514,8.4811,
9,90,0.180000,0.046193,0.421288,0.997948,0.010586,0.053204,-0.034010,0.105524,-0.016877,-0.994274,3.713734,0.104394,0.276888,0.408027,0.136173,-0.074382,-0.080850,0.108985,-1.295348,-0.130778,0.102007,1.3252,7.1525,-1.0778,8.4299,
10,100,0.200000,0.051269,0.420661,0.997705,0.014357,0.059007,-0.029936,0.117632,-0.024318,-0.992759,3.741923,0.087050,0.148933,0.270720,0.163113,-0.097751,-0.087733,0.092928,-1.021734,-0.162767,0.067680,0.5418,6.2626,-0.6138,8.3925,
11,110,0.220000,0.056345,0.420553,0.997510,0.015478,0.063774,-0.025844,0.127068,-0.027600,-0.991510,3.723592,0.083721,0.066886,0.171617,0.211646,-0.116380,-0.090432,0.078753,-0.906431,-0.183279,0.042904,-0.0320,4.6894,-0.1836,8.4883,
12,120,0.240000,0.061421,0.420730,0.997240,0.015238,0.068987,-0.022816,0.137252,-0.027269,-0.990161,3.690770,0.091060,0.016077,0.106066,0.260216,-0.134527,-0.089486,0.067608,-0.892957,-0.195981,0.026516,-0.1231,3.9085,0.3280,8.6230,
13,130,0.260000,0.066497,0.420831,0.996908,0.015147,0.074376,-0.020329,0.147856,-0.027170,-0.988636,3.637950,0.099115,-0.017832,0.059923,0.288870,-0.152029,-0.088973,0.058705,-0.849829,-0.204458,0.014981,-0.0438,3.4408,0.7976,8.7959,
14,140,0.280000,0.071574,0.420881,0.996540,0.015159,0.079655,-0.018266,0.158300,-0.027286,-0.987014,3.586010,0.103637,-0.028005,0.040655,0.304338,-0.168406,-0.088817,0.051670,-0.786614,-0.207001,0.010164,0.0984,3.1073,1.0901,8.9078,
15,150,0.300000,0.076650,0.420911,0.996171,0.015215,0.084480,-0.016583,0.167924,-0.027490,-0.985417,3.531655,0.104264,-0.033264,0.030875,0.307824,-0.182983,-0.088745,0.046299,-0.678764,-0.208316,0.007719,0.2976,2.9589,1.2449,8.9911,
16,160,0.320000,0.081726,0.420935,0.995835,0.015288,0.088605,-0.015129,0.176187,-0.027740,-0.983966,3.470401,0.102202,-0.047160,0.025530,0.298643,-0.195243,-0.088566,0.042252,-0.559863,-0.211790,0.006382,0.4476,2.8678,1.3019,9.0488,
17,170,0.340000,0.086802,0.420960,0.995541,0.015347,0.092051,-0.013728,0.183079,-0.028003,-0.982699,3.403956,0.101169,-0.063998,0.021980,0.284279,-0.205375,-0.088168,0.038989,-0.464275,-0.215999,0.005495,0.5040,2.7977,1.2849,9.0794,
18,180,0.360000,0.091878,0.420988,0.995284,0.015383,0.094980,-0.012314,0.188906,-0.028256,-0.981589,3.366323,0.102552,-0.079146,0.017164,0.268507,-0.213921,-0.087529,0.036122,-0.397155,-0.219786,0.004291,0.5334,2.7348,1.2401,9.0934,
19,190,0.380000,0.096954,0.421018,0.995052,0.015403,0.097552,-0.010896,0.193996,-0.028501,-0.980588,3.362168,0.106195,-0.091841,0.008676,0.253024,-0.221388,-0.086698,0.033476,-0.352357,-0.222960,0.002169,0.5766,2.6620,1.1876,9.0879,
20,200,0.400000,0.102030,0.421050,0.994835,0.015417,0.099875,-0.009513,0.198576,-0.028749,-0.979664,3.356471,0.110761,-0.103822,-0.002183,0.237200,-0.228125,-0.085761,0.031006,-0.321590,-0.225956,-0.000546,0.6373,2.5649,1.1330,9.0688,
21,210,0.420000,0.107107,0.421081,0.994629,0.015432,0.102015,-0.008191,0.202784,-0.029001,-0.978794,3.349893,0.115500,-0.115780,-0.012850,0.221012,-0.234349,-0.084794,0.028691,-0.299702,-0.228945,-0.003213,0.7014,2.4544,1.0734,9.0420,
22,220,0.440000,0.112183,0.421111,0.994432,0.015446,0.104015,-0.006938,0.206708,-0.029251,-0.977965,3.342819,0.120434,-0.127715,-0.022265,0.204954,-0.240202,-0.083850,0.026498,-0.283783,-0.231929,-0.005566,0.7634,2.3492,1.0098,9.0110,
23,230,0.460000,0.117259,0.421139,0.994239,0.015456,0.105910,-0.005757,0.210417,-0.029491,-0.977167,3.335553,0.125695,-0.140063,-0.030735,0.189595,-0.245790,-0.082964,0.024404,-0.272782,-0.235016,-0.007684,0.8250,2.2574,0.9459,8.9779,
24,240,0.480000,0.122335,0.421164,0.994049,0.015460,0.107730,-0.004651,0.213974,-0.029712,-0.976387,3.328229,0.131312,-0.153598,-0.038946,0.175245,-0.251208,-0.082163,0.022388,-0.266210,-0.238399,-0.009736,0.8851,2.1768,0.8860,8.9439,
25,250,0.500000,0.127411,0.421186,0.993860,0.015457,0.109503,-0.003617,0.217431,-0.029912,-0.975617,3.320798,0.137276,-0.169111,-0.047503,0.162021,-0.256541,-0.081465,0.020437,-0.263670,-0.242278,-0.011876,0.9398,2.1028,0.8328,8.9097,
26,260,0.520000,0.132487,0.421205,0.993668,0.015447,0.111254,-0.002651,0.220842,-0.030090,-0.974845,3.312937,0.143655,-0.187209,-0.056608,0.149881,-0.261869,-0.080890,0.018536,-0.265074,-0.246802,-0.014152,0.9853,2.0309,0.7876,8.8750,
27,270,0.540000,0.137563,0.421223,0.993472,0.015429,0.113015,-0.001751,0.224266,-0.030246,-0.974059,3.304549,0.150589,-0.208549,-0.066209,0.138868,-0.267277,-0.080449,0.016669,-0.271010,-0.252137,-0.016552,1.0208,1.9598,0.7507,8.8382,
28,280,0.560000,0.142640,0.421238,0.993266,0.015403,0.114823,-0.000911,0.227772,-0.030377,-0.973240,3.295665,0.158314,-0.234018,-0.076165,0.129009,-0.272864,-0.080154,0.014822,-0.281959,-0.258505,-0.019041,1.0447,1.8900,0.7229,8.7989,
29,290,0.580000,0.147716,0.421251,0.993046,0.015369,0.116719,-0.000129,0.231443,-0.030483,-0.972371,3.286201,0.167179,-0.264253,-0.086488,0.120389,-0.278739,-0.080011,0.012973,-0.298572,-0.266063,-0.021622,1.0549,1.8228,0.7053,8.7574,
30,300,0.600000,0.152792,0.421262,0.992806,0.015325,0.118750,0.000597,0.235368,-0.030564,-0.971426,3.275946,0.177593,-0.300064,-0.097418,0.113051,-0.285017,-0.080029,0.011108,-0.320990,-0.275016,-0.024354,1.0501,1.7582,0.6986,8.7133,
31,310,0.620000,0.157868,0.421273,0.992538,0.015273,0.120967,0.001267,0.239646,-0.030620,-0.970377,3.264825,0.189899,-0.342397,-0.108552,0.106722,-0.291816,-0.080216,0.009216,-0.349348,-0.285599,-0.027138,1.0280,1.6947,0.7029,8.6655,
32,320,0.640000,0.162944,0.421298,0.992238,0.015129,0.123414,0.001869,0.244376,-0.030500,-0.969201,3.253305,0.203682,-0.392956,-0.119323,0.100291,-0.299293,-0.080420,0.007292,-0.378995,-0.298239,-0.029831,0.9793,1.6152,0.7244,8.6136,
33,330,0.660000,0.168020,0.421349,0.991912,0.014835,0.126037,0.002484,0.249455,-0.030101,-0.967918,3.242491,0.219077,-0.454178,-0.129180,0.092836,-0.307334,-0.080514,0.005216,-0.402379,-0.313545,-0.032295,0.8764,1.5275,0.7541,8.5595,
34,340,0.680000,0.173096,0.421425,0.991560,0.014383,0.128810,0.003174,0.254822,-0.029410,-0.966541,3.231551,0.236666,-0.527310,-0.138231,0.084102,-0.315846,-0.080474,0.002905,-0.424550,-0.331827,-0.034558,0.7059,1.4441,0.7882,8.5086,
35,350,0.700000,0.178173,0.421538,0.991176,0.013863,0.131763,0.004028,0.260532,-0.028617,-0.965041,3.217800,0.255991,-0.607519,-0.147201,0.076635,-0.325892,-0.080527,-0.000004,-0.500836,-0.351880,-0.036800,0.5732,1.3892,0.8478,8.4577,
36,360,0.720000,0.183249,0.421697,0.990767,0.013416,0.134813,0.005039,0.266444,-0.027992,-0.963444,3.198110,0.275536,-0.696035,-0.155093,0.068712,-0.338410,-0.080972,-0.003628,-0.620994,-0.374009,-0.038773,0.5274,1.3696,0.9409,8.3947,
37,370,0.740000,0.188325,0.421889,0.990354,0.013085,0.137807,0.006082,0.272259,-0.027620,-0.961827,3.170612,0.294201,-0.796069,-0.163146,0.057534,-0.352948,-0.081881,-0.007591,-0.704336,-0.399017,-0.040786,0.4247,1.3713,1.0177,8.3049,
38,380,0.760000,0.193401,0.422089,0.989942,0.012864,0.140707,0.007142,0.277884,-0.027482,-0.960221,3.134201,0.311307,-0.906408,-0.174143,0.043163,-0.369071,-0.083272,-0.011758,-0.774506,-0.426602,-0.043536,0.2634,1.3892,1.0729,8.1801,
39,390,0.780000,0.198477,0.422268,0.989527,0.012758,0.143550,0.008206,0.283377,-0.027586,-0.958612,3.084515,0.326507,-1.026779,-0.189419,0.026549,-0.386633,-0.085231,-0.016086,-0.841817,-0.456695,-0.047355,0.0637,1.4100,1.1056,8.0150,
40,400,0.800000,0.203553,0.422396,0.989098,0.012774,0.146408,0.009257,0.288874,-0.027939,-0.956959,3.017237,0.340511,-1.160328,-0.207031,0.007439,-0.405686,-0.087865,-0.020553,-0.914477,-0.490082,-0.051758,-0.1585,1.4260,1.1242,7.7896,
