step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
1,10,0.020000,0.008800,0.429909,1.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.218830,0.222125,0.175076,-0.000000,-0.200000,0.000000,0.0000,-0.0000,0.0000,0.0000,
2,20,0.040000,0.016800,0.424654,0.999983,-0.002807,-0.002334,0.004441,-0.003261,0.004925,-0.999983,0.000000,0.000000,0.000000,0.000000,0.000000,-0.246400,0.222323,0.139309,-0.912990,-0.200000,0.000000,2.7615,-6.4830,-1.3802,6.8140,
3,30,0.060000,0.024800,0.416418,0.999891,-0.002834,-0.012263,0.007758,-0.022236,0.007517,-0.999724,0.000000,0.000000,0.000000,0.000000,0.000000,-0.249051,0.212695,0.104221,-0.287997,-0.200000,0.000000,1.9035,-5.3394,-0.1762,6.4995,
4,40,0.080000,0.032800,0.408812,0.999585,0.010421,-0.025704,0.007785,-0.048436,-0.018789,-0.998650,0.000000,0.000000,0.000000,0.000000,0.000000,-0.264873,0.194993,0.075591,-0.851363,-0.200000,0.000000,3.2232,-4.9796,-0.3097,7.0639,
5,50,0.100000,0.040800,0.405910,0.998970,0.007864,-0.044525,0.003897,-0.084967,-0.016596,-0.996246,0.000000,0.000000,0.000000,0.000000,0.000000,-0.265492,0.203594,0.047354,0.858833,-0.200000,0.000000,0.6765,-7.3051,0.7215,7.3051,
6,60,0.120000,0.048800,0.406207,0.997985,0.004492,-0.063295,0.000673,-0.122971,-0.009209,-0.992368,0.000000,0.000000,0.000000,0.000000,0.000000,-0.243190,0.216241,0.040952,1.240055,-0.200000,0.000000,-0.5644,-7.0918,-1.1836,7.0918,
7,70,0.140000,0.056800,0.406393,0.996947,0.003568,-0.078000,-0.000342,-0.152940,-0.007258,-0.988209,0.000000,0.000000,0.000000,0.000000,0.000000,-0.220526,0.220761,0.040183,0.991648,-0.200000,0.000000,-0.8717,-6.8175,-1.1020,7.1485,
8,80,0.160000,0.064800,0.406003,0.995984,0.003304,-0.089470,-0.000945,-0.176157,-0.006764,-0.984339,0.000000,0.000000,0.000000,0.000000,0.000000,-0.204908,0.222100,0.036963,0.619871,-0.200000,0.000000,-0.7826,-6.7129,-0.7713,7.1240,
9,90,0.180000,0.072800,0.405337,0.995079,0.003245,-0.099028,-0.001076,-0.195301,-0.006683,-0.980721,0.000000,0.000000,0.000000,0.000000,0.000000,-0.195332,0.222513,0.031702,0.384499,-0.200000,0.000000,-0.7168,-6.6970,-0.5247,7.1050,
10,100,0.200000,0.080800,0.404617,0.994192,0.003165,-0.107572,-0.000917,-0.212268,-0.006514,-0.977190,0.000000,0.000000,0.000000,0.000000,0.000000,-0.189109,0.222686,0.025889,0.262646,-0.200000,0.000000,-0.7207,-6.6869,-0.3398,7.0810,
11,110,0.220000,0.088800,0.403889,0.993289,0.003049,-0.115614,-0.000705,-0.228115,-0.006250,-0.973614,0.000000,0.000000,0.000000,0.000000,0.000000,-0.184661,0.222697,0.020130,0.196962,-0.200000,0.000000,-0.7556,-6.6780,-0.1772,7.0346,
12,120,0.240000,0.096800,0.403144,0.992330,0.002893,-0.123580,-0.000606,-0.243689,-0.005927,-0.969835,0.000000,0.000000,0.000000,0.000000,0.000000,-0.180951,0.222613,0.014529,0.182566,-0.200000,0.000000,-0.8453,-6.6696,-0.0209,6.9649,
13,130,0.260000,0.104800,0.402371,0.991272,0.002698,-0.131802,-0.000615,-0.259664,-0.005553,-0.965683,0.000000,0.000000,0.000000,0.000000,0.000000,-0.177160,0.222453,0.009038,0.198304,-0.200000,0.000000,-0.9827,-6.6589,0.1400,6.8787,
14,140,0.280000,0.112800,0.401572,0.990085,0.002448,-0.140446,-0.000717,-0.276385,-0.005101,-0.961034,0.000000,0.000000,0.000000,0.000000,0.000000,-0.172888,0.222218,0.003498,0.226769,-0.200000,0.000000,-1.1535,-6.6466,0.3158,6.7616,
15,150,0.300000,0.120800,0.400725,0.988742,0.002180,-0.149610,-0.000907,-0.294017,-0.004621,-0.955789,0.000000,0.000000,0.000000,0.000000,0.000000,-0.167833,0.221342,-0.003030,0.271099,-0.200000,0.000000,-1.3716,-6.5420,0.6168,6.5420,
16,160,0.320000,0.128800,0.399804,0.987209,0.001986,-0.159417,-0.001050,-0.312820,-0.004283,-0.949803,0.000000,0.000000,0.000000,0.000000,0.000000,-0.161807,0.219443,-0.010682,0.319006,-0.200000,0.000000,-1.6243,-6.4463,0.8489,6.5354,
17,170,0.340000,0.136800,0.398802,0.985483,0.001822,-0.169762,-0.001175,-0.332569,-0.004008,-0.943070,0.000000,0.000000,0.000000,0.000000,0.000000,-0.155231,0.217212,-0.018335,0.354152,-0.200000,0.000000,-1.8743,-6.2741,1.2231,6.3446,
18,180,0.360000,0.144800,0.397706,0.983554,0.001674,-0.180600,-0.001327,-0.353155,-0.003799,-0.935557,0.000000,0.000000,0.000000,0.000000,0.000000,-0.148287,0.214647,-0.026018,0.350843,-0.200000,0.000000,-2.0776,-6.2329,1.3833,6.2329,
19,190,0.380000,0.152800,0.396503,0.981410,0.001545,-0.191909,-0.001455,-0.374502,-0.003606,-0.927219,0.000000,0.000000,0.000000,0.000000,0.000000,-0.141122,0.211617,-0.034074,0.371034,-0.200000,0.000000,-2.3229,-6.0804,1.6719,6.0804,
20,200,0.400000,0.160800,0.395184,0.979032,0.001438,-0.203695,-0.001595,-0.396592,-0.003478,-0.917988,0.000000,0.000000,0.000000,0.000000,0.000000,-0.133735,0.208025,-0.042606,0.368934,-0.200000,0.000000,-2.5413,-5.9679,1.9161,5.9679,
21,210,0.420000,0.168800,0.393743,0.976398,0.001351,-0.215970,-0.001684,-0.419426,-0.003372,-0.907783,0.000000,0.000000,0.000000,0.000000,0.000000,-0.126246,0.204163,-0.051138,0.371753,-0.200000,0.000000,-2.7703,-5.8477,2.1310,5.8477,
22,220,0.440000,0.176800,0.392195,0.973521,0.001297,-0.228586,-0.001792,-0.442722,-0.003343,-0.896653,0.000000,0.000000,0.000000,0.000000,0.000000,-0.119085,0.200857,-0.058106,0.343523,-0.200000,0.000000,-2.9427,-5.8013,2.2074,5.8013,
23,230,0.460000,0.184800,0.390545,0.970427,0.001274,-0.241384,-0.001917,-0.466145,-0.003389,-0.884702,0.000000,0.000000,0.000000,0.000000,0.000000,-0.112685,0.198204,-0.063479,0.299128,-0.200000,0.000000,-3.0682,-5.7665,2.2613,5.7665,
24,240,0.480000,0.192800,0.388789,0.967127,0.001277,-0.254281,-0.002055,-0.489510,-0.003501,-0.871991,0.000000,0.000000,0.000000,0.000000,0.000000,-0.107266,0.196078,-0.067609,0.247109,-0.200000,0.000000,-3.1527,-5.7381,2.3026,5.7381,
25,250,0.500000,0.200800,0.386913,0.963623,0.001304,-0.267253,-0.002204,-0.512741,-0.003671,-0.858536,0.000000,0.000000,0.000000,0.000000,0.000000,-0.102930,0.194366,-0.070778,0.191727,-0.200000,0.000000,-3.1997,-5.7147,2.3333,5.7147,
26,260,0.520000,0.208800,0.384884,0.959908,0.001356,-0.280302,-0.002366,-0.535821,-0.003903,-0.844322,0.000000,0.000000,0.000000,0.000000,0.000000,-0.099728,0.192961,-0.073223,0.133431,-0.200000,0.000000,-3.2083,-5.6893,2.3647,5.6893,
27,270,0.540000,0.216800,0.382650,0.955970,0.001429,-0.293450,-0.002535,-0.558765,-0.004189,-0.829316,0.000000,0.000000,0.000000,0.000000,0.000000,-0.097705,0.191680,-0.075326,0.074669,-0.200000,0.000000,-3.1809,-5.6569,2.4102,5.6569,
28,280,0.560000,0.224800,0.380109,0.951797,0.001515,-0.306713,-0.002698,-0.581576,-0.004506,-0.813480,0.000000,0.000000,0.000000,0.000000,0.000000,-0.097072,0.190521,-0.077233,-0.011441,-0.200000,0.000000,-3.0707,-5.6364,2.4543,5.6364,
29,290,0.580000,0.232800,0.377109,0.947356,0.001617,-0.320165,-0.002860,-0.604328,-0.004858,-0.796721,0.000000,0.000000,0.000000,0.000000,0.000000,-0.098381,0.189604,-0.078964,-0.106662,-0.200000,0.000000,-2.8886,-5.6274,2.4923,5.6274,
30,300,0.600000,0.240800,0.373533,0.942557,0.001743,-0.334027,-0.003024,-0.627339,-0.005262,-0.778728,0.000000,0.000000,0.000000,0.000000,0.000000,-0.101338,0.188899,-0.080502,-0.177853,-0.200000,0.000000,-2.6931,-5.6196,2.5239,5.6196,
31,310,0.620000,0.248800,0.369275,0.937292,0.001893,-0.348527,-0.003194,-0.650930,-0.005725,-0.759117,0.000000,0.000000,0.000000,0.000000,0.000000,-0.105464,0.188331,-0.081847,-0.226642,-0.200000,0.000000,-2.4961,-5.6106,2.5499,5.6106,
32,320,0.640000,0.256800,0.364216,0.931448,0.002068,-0.363854,-0.003372,-0.675320,-0.006251,-0.737499,0.000000,0.000000,0.000000,0.000000,0.000000,-0.110382,0.187837,-0.083006,-0.259807,-0.200000,0.000000,-2.2988,-5.5993,2.5710,5.5993,
33,330,0.660000,0.264800,0.358236,0.924906,0.002268,-0.380172,-0.003557,-0.700644,-0.006839,-0.713479,0.000000,0.000000,0.000000,0.000000,0.000000,-0.115652,0.187333,-0.083978,-0.257847,-0.200000,0.000000,-2.1437,-5.5780,2.5855,5.5780,
34,340,0.680000,0.272800,0.351223,0.917565,0.002492,-0.397561,-0.003751,-0.726891,-0.007488,-0.686712,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120644,0.186679,-0.084758,-0.245301,-0.200000,0.000000,-2.0127,-5.5455,2.5952,5.5455,
