step,time,z,tau_max,dof_err
1,0.0200,0.4159,3.1,0.7228
2,0.0400,0.4160,3.6,0.7381
3,0.0600,0.4160,12.5,0.7300
4,0.0800,0.4167,6.0,0.6879
5,0.1000,0.4173,10.5,0.6781
6,0.1200,0.4155,10.5,0.7629
7,0.1400,0.4175,20.1,0.7992
8,0.1600,0.4180,36.0,0.7919
9,0.1800,0.4189,36.0,0.7301
10,0.2000,0.4226,17.3,0.9615
11,0.2200,0.4302,20.2,1.1962
12,0.2400,0.4414,26.6,1.2918
13,0.2600,0.4483,13.8,1.3293
14,0.2800,0.4492,24.2,1.4084
15,0.3000,0.4445,36.0,1.3642
16,0.3200,0.4363,36.0,1.3984
17,0.3400,0.4355,36.0,1.3368
18,0.3600,0.4403,36.0,1.2104
19,0.3800,0.4442,36.0,1.1446
20,0.4000,0.4454,36.0,1.0890
21,0.4200,0.4432,36.0,1.0898
22,0.4400,0.4395,36.0,1.1271
23,0.4600,0.4320,36.0,1.4091
24,0.4800,0.4199,36.0,1.7297
25,0.5000,0.3978,36.0,1.9298
26,0.5200,0.3688,36.0,2.6453
27,0.5400,0.3502,36.0,2.9718
28,0.5600,0.3402,36.0,2.7949
29,0.5800,0.3260,36.0,2.4311
30,0.6000,0.3087,36.0,2.3373
31,0.6200,0.2879,36.0,2.4931
32,0.6400,0.2726,36.0,2.7518
33,0.6600,0.2671,36.0,2.8112
34,0.6800,0.2639,36.0,2.7134
35,0.7000,0.2663,36.0,2.4628
36,0.7200,0.2753,36.0,2.0640
37,0.7400,0.2900,36.0,1.5600
38,0.7600,0.3101,36.0,1.2131
39,0.7800,0.3263,36.0,1.1361
40,0.8000,0.3302,36.0,1.1557
41,0.8200,0.3250,36.0,1.3244
42,0.8400,0.3174,36.0,1.7366
43,0.8600,0.3197,36.0,1.9289
44,0.8800,0.3226,36.0,1.9234
45,0.9000,0.3168,36.0,2.3947
46,0.9200,0.3071,36.0,3.1000
47,0.9400,0.2810,36.0,3.4960
48,0.9600,0.2466,36.0,3.9333
49,0.9800,0.2253,36.0,4.0134
50,1.0000,0.2176,36.0,3.9572
51,1.0200,0.2344,36.0,3.9200
52,1.0400,0.2569,36.0,3.8787
53,1.0600,0.2721,36.0,3.8487
54,1.0800,0.2827,36.0,3.6068
55,1.1000,0.2772,36.0,3.0905
56,1.1200,0.2859,36.0,2.4978
57,1.1400,0.2911,36.0,1.9588
58,1.1600,0.2854,36.0,1.6016
59,1.1800,0.2810,36.0,1.3184
60,1.2000,0.2818,36.0,1.3380
61,1.2200,0.2930,36.0,1.6774
62,1.2400,0.3274,36.0,2.1909
63,1.2600,0.3605,36.0,2.1978
64,1.2800,0.3677,36.0,2.1333
65,1.3000,0.3602,36.0,2.2523
66,1.3200,0.3482,36.0,2.2801
67,1.3400,0.3408,36.0,2.3273
68,1.3600,0.3413,36.0,2.3682
69,1.3800,0.3485,36.0,2.3075
70,1.4000,0.3572,36.0,2.0776
71,1.4200,0.3735,36.0,1.6786
