step,time,z,tau_max,dof_err
1,0.0200,0.4159,3.1,0.7228
2,0.0400,0.4163,4.9,0.7002
3,0.0600,0.4170,5.9,0.6960
4,0.0800,0.4194,8.5,0.7064
5,0.1000,0.4226,23.6,0.6879
6,0.1200,0.4270,15.1,0.7199
7,0.1400,0.4328,36.0,0.6883
8,0.1600,0.4395,36.0,0.7911
9,0.1800,0.4408,36.0,1.0239
10,0.2000,0.4376,36.0,1.5260
11,0.2200,0.4360,36.0,1.6290
12,0.2400,0.4440,36.0,1.4812
13,0.2600,0.4543,36.0,1.7471
14,0.2800,0.4523,36.0,1.5372
15,0.3000,0.4388,36.0,1.4825
16,0.3200,0.4237,36.0,1.7255
17,0.3400,0.4201,36.0,1.7288
18,0.3600,0.4106,36.0,1.6363
19,0.3800,0.4058,36.0,1.3435
20,0.4000,0.4048,36.0,1.3628
21,0.4200,0.3965,36.0,1.8417
22,0.4400,0.3814,36.0,1.8304
23,0.4600,0.3646,36.0,1.7275
24,0.4800,0.3538,36.0,1.6331
25,0.5000,0.3397,36.0,1.5982
26,0.5200,0.3423,36.0,1.5055
27,0.5400,0.3318,36.0,1.6618
28,0.5600,0.3016,36.0,1.6129
29,0.5800,0.2788,36.0,1.6137
30,0.6000,0.2571,36.0,1.9373
31,0.6200,0.2339,36.0,2.0025
32,0.6400,0.2143,36.0,2.1919
33,0.6600,0.1851,36.0,1.9349
34,0.6800,0.1525,36.0,1.7854
35,0.7000,0.1327,36.0,1.5383
36,0.7200,0.1251,36.0,1.9237
37,0.7400,0.1329,36.0,2.3498
38,0.7600,0.1463,36.0,2.4077
39,0.7800,0.1676,36.0,2.3863
40,0.8000,0.1883,36.0,2.7590
41,0.8200,0.2093,36.0,2.6857
42,0.8400,0.2183,36.0,2.5952
43,0.8600,0.2089,36.0,2.5357
44,0.8800,0.2146,36.0,2.5066
45,0.9000,0.2530,36.0,2.5014
46,0.9200,0.3372,36.0,2.3196
47,0.9400,0.3753,36.0,2.6537
48,0.9600,0.4005,36.0,2.5155
49,0.9800,0.4109,36.0,2.6480
50,1.0000,0.4194,36.0,2.6435
51,1.0200,0.4124,36.0,2.7874
52,1.0400,0.4250,36.0,2.7382
53,1.0600,0.4275,36.0,2.1198
54,1.0800,0.3706,36.0,1.4466
55,1.1000,0.2976,36.0,2.1818
56,1.1200,0.2669,36.0,2.4652
57,1.1400,0.2511,36.0,2.6213
58,1.1600,0.2834,36.0,2.5445
59,1.1800,0.3699,36.0,2.3587
60,1.2000,0.4447,36.0,2.2093
61,1.2200,0.4962,36.0,2.4057
62,1.2400,0.5006,36.0,2.8010
63,1.2600,0.4618,36.0,2.9153
64,1.2800,0.4228,36.0,2.8740
65,1.3000,0.3952,36.0,3.0766
66,1.3200,0.3702,36.0,3.0910
67,1.3400,0.3448,36.0,3.2288
68,1.3600,0.3164,36.0,3.6791
69,1.3800,0.3050,36.0,3.8618
70,1.4000,0.3148,36.0,3.8917
71,1.4200,0.3133,36.0,3.9285
72,1.4400,0.2984,36.0,3.9694
73,1.4600,0.2801,36.0,3.9784
74,1.4800,0.2704,36.0,3.9975
75,1.5000,0.2637,36.0,3.9995
76,1.5200,0.2719,36.0,3.9972
77,1.5400,0.2869,36.0,3.9966
78,1.5600,0.3123,36.0,3.9905
79,1.5800,0.3467,36.0,3.9741
80,1.6000,0.3508,36.0,3.9465
81,1.6200,0.3248,36.0,3.9011
82,1.6400,0.3094,36.0,3.8176
83,1.6600,0.3053,36.0,3.7180
84,1.6800,0.3027,36.0,3.6120
85,1.7000,0.2981,36.0,3.4921
86,1.7200,0.3027,36.0,3.3618
87,1.7400,0.3139,36.0,3.2409
88,1.7600,0.3556,36.0,3.0998
89,1.7800,0.3963,36.0,2.9322
90,1.8000,0.4054,36.0,2.7754
91,1.8200,0.3965,36.0,2.6424
92,1.8400,0.3972,36.0,2.5029
93,1.8600,0.4117,36.0,2.6784
94,1.8800,0.4432,36.0,2.8086
95,1.9000,0.4717,36.0,2.6604
96,1.9200,0.4813,36.0,2.7222
97,1.9400,0.4741,36.0,2.5933
98,1.9600,0.4426,36.0,2.3622
99,1.9800,0.4202,36.0,1.9414
100,2.0000,0.3993,36.0,1.7578
101,2.0200,0.3962,36.0,1.7637
102,2.0400,0.3922,36.0,1.7830
103,2.0600,0.3809,36.0,1.7297
104,2.0800,0.3618,36.0,1.6866
105,2.1000,0.3537,36.0,1.7498
106,2.1200,0.3462,36.0,1.8540
107,2.1400,0.3284,36.0,1.8589
108,2.1600,0.2995,36.0,1.9482
109,2.1800,0.2384,36.0,1.8988
110,2.2000,0.1654,36.0,1.6935
111,2.2200,0.1493,36.0,1.6951
112,2.2400,0.1855,36.0,1.9262
113,2.2600,0.2171,36.0,1.9950
114,2.2800,0.2315,36.0,1.8401
115,2.3000,0.2293,36.0,1.8392
116,2.3200,0.2249,36.0,1.8326
117,2.3400,0.2483,36.0,2.1797
118,2.3600,0.2876,36.0,2.2328
119,2.3800,0.3210,36.0,2.0366
120,2.4000,0.3548,36.0,2.1403
121,2.4200,0.3624,36.0,1.9154
122,2.4400,0.3491,36.0,1.7318
123,2.4600,0.3334,36.0,1.7370
124,2.4800,0.3070,36.0,1.7410
125,2.5000,0.3004,36.0,1.7806
126,2.5200,0.3335,36.0,1.7499
127,2.5400,0.3501,36.0,2.0962
128,2.5600,0.3557,36.0,2.0448
129,2.5800,0.3575,36.0,2.0729
130,2.6000,0.3465,36.0,1.9231
131,2.6200,0.3355,36.0,1.8034
132,2.6400,0.3147,36.0,1.9031
133,2.6600,0.3169,36.0,2.2930
134,2.6800,0.3389,36.0,2.2943
135,2.7000,0.3610,36.0,2.3384
136,2.7200,0.3927,36.0,2.1653
137,2.7400,0.4402,36.0,1.7851
138,2.7600,0.4534,36.0,2.9711
139,2.7800,0.4576,36.0,3.3158
140,2.8000,0.4748,36.0,3.1377
141,2.8200,0.4871,36.0,2.8140
142,2.8400,0.4708,36.0,2.4871
143,2.8600,0.4435,36.0,2.2806
144,2.8800,0.4212,36.0,2.3021
145,2.9000,0.4057,36.0,2.4525
146,2.9200,0.3985,36.0,2.6394
147,2.9400,0.4035,36.0,2.8229
148,2.9600,0.4109,36.0,2.8314
149,2.9800,0.4171,36.0,2.8084
150,3.0000,0.4282,36.0,2.7920
151,3.0200,0.4376,36.0,2.7606
152,3.0400,0.4442,36.0,2.7478
153,3.0600,0.4438,36.0,2.7489
154,3.0800,0.4470,36.0,2.7142
155,3.1000,0.4469,36.0,2.6343
156,3.1200,0.4379,36.0,2.6685
157,3.1400,0.4230,36.0,2.7930
158,3.1600,0.4064,36.0,2.8046
159,3.1800,0.3886,36.0,2.6513
160,3.2000,0.3819,36.0,2.3105
161,3.2200,0.3826,36.0,2.0098
162,3.2400,0.3726,36.0,2.3361
163,3.2600,0.3587,36.0,2.2801
164,3.2800,0.3484,36.0,2.1839
165,3.3000,0.3490,36.0,2.1297
166,3.3200,0.3594,36.0,2.1021
167,3.3400,0.3703,36.0,2.0189
168,3.3600,0.3717,36.0,1.9893
169,3.3800,0.3714,36.0,1.9473
170,3.4000,0.3676,36.0,1.8735
171,3.4200,0.3572,36.0,1.9796
172,3.4400,0.3427,36.0,2.0486
173,3.4600,0.3225,36.0,2.1739
174,3.4800,0.3005,36.0,2.1598
175,3.5000,0.2746,36.0,2.0188
176,3.5200,0.2481,36.0,1.8140
177,3.5400,0.2321,36.0,1.7945
