step,time,phase,motion_time,ref_root_z,actual_root_z,ref_root_vz,actual_root_vz,ref_yaw,actual_yaw,yaw_error_deg,ref_yaw_rate,actual_yaw_rate,left_contact,right_contact,action_max_abs,action_mean,target_knee_L,target_hip_pitch_L,target_ankle_pitch_L,actual_knee_L,actual_hip_pitch_L,actual_ankle_pitch_L,torque_knee_L,torque_hip_pitch_L,torque_ankle_pitch_L,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torque_max,torque_sat_ratio
0,0.0000,0.005618,0.0000,0.420355,0.420000,0.017953,0.000000,-0.004316,0.000000,-0.2473,-0.215570,0.000000,1,1,0.807068,-0.069091,0.475441,-0.269943,-0.162535,0.500000,-0.200000,-0.200000,-2.2543,-1.1293,3.9231,0.000000,0.000000,0.420000,1.000000,0.000000,0.000000,0.000000,3.9231,0.0000
1,0.0200,0.011236,0.0200,0.420718,0.421297,0.016168,0.107581,-0.006283,-0.000932,-0.3066,-0.100280,-0.091174,1,1,2.425690,-0.328873,0.224894,-0.343567,-0.570749,0.514658,-0.209119,-0.245138,-8.1006,-2.2733,-4.4758,-0.000980,-0.000035,0.421297,0.999998,0.000321,0.001987,-0.000467,8.1006,0.0000
2,0.0400,0.016854,0.0400,0.421002,0.423682,0.011306,0.125365,-0.005904,-0.002622,-0.1881,0.014955,-0.049715,1,1,3.310251,-0.553358,-0.010319,-0.730001,-0.633704,0.510574,-0.226526,-0.278306,-12.1775,-12.2360,-6.1078,-0.004271,-0.000470,0.423682,0.999952,0.000590,0.009661,-0.001317,12.2360,0.0000
3,0.0600,0.022472,0.0600,0.421170,0.426609,0.009455,0.164736,-0.003408,0.004245,-0.4385,0.121539,0.624395,1,1,4.263644,-0.088894,-0.565911,-0.371508,-0.879820,0.477575,-0.254795,-0.294583,-16.0580,-7.8325,-12.3537,-0.009929,-0.000504,0.426609,0.999706,0.002637,0.024003,0.002057,16.0580,0.0000
4,0.0800,0.028090,0.0800,0.421380,0.432078,0.012313,0.370703,-0.001592,-0.019293,1.0142,0.087950,-2.672305,1,1,4.096560,0.141757,0.170193,0.483827,0.439403,0.331325,-0.216716,-0.290734,11.2244,9.5596,4.3293,-0.015907,0.002350,0.432078,0.998937,0.007806,0.044323,-0.009965,18.9551,0.0000
5,0.1000,0.033708,0.1000,0.421663,0.439176,0.013594,0.286306,-0.000457,-0.058310,3.3147,0.054328,-1.174046,0,1,5.258264,0.663178,0.597946,0.456543,1.114566,0.164810,-0.105789,-0.147432,12.5124,6.8115,3.9919,-0.014876,0.008996,0.439176,0.998059,0.015151,0.052523,-0.029829,22.0000,0.0455
6,0.1200,0.039326,0.1200,0.421924,0.442301,0.014721,0.088415,0.000471,-0.052127,3.0136,0.044090,1.453019,0,0,7.990397,0.772831,1.685006,-0.761034,0.110729,0.155042,-0.000105,0.164310,4.7781,-6.5430,-4.5318,-0.006303,0.016401,0.442301,0.998903,-0.002417,0.038935,-0.025907,36.0000,0.0455
7,0.1400,0.044944,0.1400,0.422252,0.441669,0.017050,-0.138510,0.001203,-0.021116,1.2787,0.034244,1.493110,0,0,6.464057,0.271462,1.803136,-1.316157,0.458059,0.536514,-0.138515,0.247157,-7.1106,-7.9817,0.6621,-0.007147,0.020206,0.441669,0.998872,-0.017724,0.042953,-0.009768,36.0000,0.0909
8,0.1600,0.050562,0.1600,0.422606,0.433620,0.015119,-0.534433,0.001739,-0.002885,0.2649,0.024402,-0.457632,0,0,7.444215,-0.214358,-0.557991,0.594649,0.039603,0.999675,-0.411627,0.295736,-36.0000,24.2148,-6.7654,-0.022867,0.020334,0.433620,0.996467,0.030835,0.078028,-0.003844,36.0000,0.1818
9,0.1800,0.056180,0.1800,0.422856,0.425232,0.015023,-0.149199,0.002651,-0.058584,3.5085,0.043736,-7.821372,0,1,7.920202,0.419319,0.839774,0.464913,0.753433,1.013655,-0.388881,0.326022,10.5125,3.1554,2.7092,-0.031541,0.021106,0.425232,0.987622,0.117345,0.095902,-0.040445,36.0000,0.0909
