step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
1,10,0.020000,0.008800,0.423341,0.999886,0.000233,-0.015084,-0.000084,-0.025914,-0.000428,-0.999664,1.130280,-0.132829,-0.111348,0.542377,0.161168,-0.149586,-0.012910,-0.023086,3.741436,-0.227837,0.135594,-7.1246,1.6777,3.5990,12.6000,
2,20,0.040000,0.016800,0.430313,0.999341,0.000299,-0.036288,0.000072,-0.068467,-0.000573,-0.997653,2.370324,-0.288520,-0.110831,0.948152,0.223286,-0.075405,-0.033652,-0.061973,3.465301,-0.227708,0.237038,-9.7709,6.5849,4.4859,16.4782,
3,30,0.060000,0.024800,0.435632,0.998708,0.000275,-0.050807,-0.000008,-0.099290,-0.000555,-0.995058,3.281805,-0.384744,-0.055237,1.148961,0.266822,-0.023270,-0.045828,-0.067754,1.765271,-0.213809,0.287240,-8.7810,8.7888,3.8224,22.0000,
4,40,0.080000,0.032800,0.436228,0.998364,0.000199,-0.057181,0.000551,-0.113370,-0.000370,-0.993553,3.951566,-0.426600,0.091690,1.145583,0.266520,-0.007268,-0.045403,-0.068154,0.322155,-0.177077,0.286396,-6.6795,9.8051,4.0625,22.0000,
5,50,0.100000,0.040800,0.430855,0.998271,0.000098,-0.058760,0.001414,-0.117236,0.000086,-0.993104,4.405821,-0.415091,0.401473,1.177368,0.214394,-0.004060,-0.042562,-0.068278,0.089356,-0.099632,0.294342,-5.3246,9.6698,4.0413,22.0000,
6,60,0.120000,0.048800,0.429662,0.998388,0.000231,-0.056719,0.002082,-0.114021,-0.000301,-0.993478,4.576423,-0.435370,0.541142,1.157332,0.319244,-0.002792,-0.040823,-0.067918,0.048978,-0.064715,0.289333,-2.9787,9.9487,3.6069,22.0000,
7,70,0.140000,0.056800,0.432382,0.998760,-0.001186,-0.049756,0.000754,-0.101257,0.002091,-0.994858,4.432923,-0.407487,0.304834,1.154911,0.469512,-0.002017,-0.039452,-0.067094,0.031346,-0.123791,0.288728,-1.9279,9.7577,4.3333,22.0000,
8,80,0.160000,0.064800,0.435836,0.999291,-0.003122,-0.037435,-0.002471,-0.077672,0.005723,-0.996963,4.272364,-0.340792,-0.092954,1.252792,0.671470,-0.001523,-0.037893,-0.066009,0.019805,-0.223238,0.313198,-3.6978,9.6754,5.4134,22.0000,
9,90,0.180000,0.072800,0.438624,0.999737,-0.004717,-0.021407,-0.006758,-0.046264,0.008850,-0.998890,4.148760,-0.229669,-0.327533,1.498553,0.878960,-0.001213,-0.036247,-0.064542,0.012209,-0.281883,0.374638,-6.6791,10.3640,6.8417,22.0000,
10,100,0.200000,0.080800,0.440244,0.999912,-0.006021,-0.003707,-0.011222,-0.011116,0.011719,-0.999870,4.159829,-0.101840,-0.319645,1.711056,1.043797,-0.001026,-0.034796,-0.062267,0.006884,-0.279911,0.427764,-8.4360,12.1842,8.2562,22.0000,
11,110,0.220000,0.088800,0.441263,0.999824,-0.006735,0.009483,-0.014710,0.017271,0.013537,-0.999759,4.303814,-0.042712,-0.109177,1.790123,1.152303,-0.000919,-0.033993,-0.059237,0.003969,-0.227294,0.447531,-8.3757,13.8438,9.3720,22.0000,
12,120,0.240000,0.096800,0.441465,0.999772,-0.007779,0.012493,-0.015459,0.024624,0.015720,-0.999573,4.320452,-0.035006,0.247232,1.784452,1.106698,-0.000818,-0.034246,-0.056039,0.006075,-0.138192,0.446113,-6.8034,14.4840,10.0855,22.0000,
13,130,0.260000,0.104800,0.440559,0.999776,-0.008976,0.011876,-0.015045,0.023741,0.018050,-0.999555,4.291971,-0.041796,0.527303,1.768461,0.976030,-0.000674,-0.034668,-0.053017,0.007388,-0.068174,0.442115,-4.1366,14.4542,9.6732,22.0000,
14,140,0.280000,0.112800,0.439360,0.999798,-0.009962,0.011032,-0.013555,0.021837,0.020085,-0.999560,4.321661,-0.047940,0.591590,1.744262,0.866738,-0.000508,-0.035111,-0.050195,0.008586,-0.052103,0.436065,-2.0429,14.3533,8.6171,22.0000,
15,150,0.300000,0.120800,0.438610,0.999819,-0.010396,0.011473,-0.011037,0.022510,0.020998,-0.999526,4.402749,-0.040687,0.481034,1.716363,0.800105,-0.000358,-0.035611,-0.047496,0.006458,-0.079742,0.429091,-1.5620,14.1872,7.7288,22.0000,
16,160,0.320000,0.128800,0.438020,0.999830,-0.010459,0.012946,-0.007913,0.025342,0.021140,-0.999455,4.492169,-0.021016,0.330768,1.708988,0.794228,-0.000259,-0.036072,-0.044985,0.003815,-0.117308,0.427247,-2.3902,13.9874,7.1683,22.0000,
17,170,0.340000,0.136800,0.437365,0.999824,-0.010235,0.015085,-0.004460,0.029589,0.020679,-0.999348,4.551902,0.003132,0.236480,1.715345,0.811223,-0.000208,-0.036470,-0.042651,0.001720,-0.140880,0.428836,-3.5156,13.9392,7.0664,22.0000,
18,180,0.360000,0.144800,0.436501,0.999797,-0.009772,0.017610,-0.000894,0.034653,0.019697,-0.999205,4.559727,0.025144,0.231332,1.716904,0.817171,-0.000190,-0.036807,-0.040463,0.000314,-0.142167,0.429226,-4.2212,13.9929,7.1384,22.0000,
19,190,0.380000,0.152800,0.435370,0.999747,-0.009089,0.020422,0.002639,0.040284,0.018237,-0.999022,4.538924,0.043590,0.281792,1.705154,0.804468,-0.000194,-0.037098,-0.038399,-0.000477,-0.129552,0.426289,-4.2585,14.0103,7.1297,22.0000,
20,200,0.400000,0.160800,0.434072,0.999668,-0.008187,0.023661,0.006013,0.046640,0.016313,-0.998779,4.519101,0.058911,0.322465,1.685657,0.787098,-0.000206,-0.037363,-0.036453,-0.000183,-0.119384,0.421414,-3.8801,13.9313,6.9876,22.0000,
21,210,0.420000,0.168800,0.433476,0.999536,-0.006964,0.028347,0.008655,0.055739,0.013723,-0.998351,4.519619,0.075089,0.299536,1.672925,0.777883,-0.000205,-0.037671,-0.034721,-0.000294,-0.125116,0.418231,-3.5749,13.7944,6.8203,22.0000,
22,220,0.440000,0.176800,0.433137,0.999352,-0.005541,0.033936,0.010638,0.066788,0.010679,-0.997710,4.528469,0.091522,0.266646,1.667294,0.773464,-0.000053,-0.037851,-0.032928,0.011943,-0.133338,0.416824,-3.7698,13.6913,6.6812,22.0000,
23,230,0.460000,0.184800,0.432668,0.999122,-0.003926,0.039859,0.012287,0.078557,0.007237,-0.996883,4.536104,0.106371,0.245017,1.666508,0.767850,0.000206,-0.037945,-0.031034,0.013015,-0.138746,0.416627,-4.0259,13.6497,6.5899,22.0000,
24,240,0.480000,0.192800,0.432017,0.998849,-0.002066,0.045831,0.013984,0.090426,0.003273,-0.995898,4.526436,0.118602,0.255333,1.659736,0.751414,0.000448,-0.038055,-0.029153,0.011074,-0.136167,0.414934,-4.1924,13.6465,6.4934,22.0000,
25,250,0.500000,0.200800,0.431262,0.998530,0.000073,0.051787,0.016003,0.102247,-0.001301,-0.994758,4.505198,0.127900,0.290520,1.644524,0.725491,0.000636,-0.038036,-0.027336,0.008076,-0.127370,0.411131,-4.1162,13.5884,6.3225,22.0000,
26,260,0.520000,0.208800,0.430473,0.998164,0.002580,0.057672,0.018316,0.113868,-0.006703,-0.993473,4.480484,0.133844,0.328125,1.622544,0.698382,0.000767,-0.038090,-0.025616,0.005140,-0.117969,0.405636,-3.8518,13.4828,6.0841,22.0000,
27,270,0.540000,0.216800,0.430003,0.997766,0.005068,0.063761,0.019305,0.125822,-0.012062,-0.991980,4.465632,0.138809,0.342762,1.606106,0.675620,0.000835,-0.038138,-0.024007,0.002423,-0.114310,0.401526,-3.5678,13.3162,5.8399,22.0000,
28,280,0.560000,0.224800,0.429765,0.997339,0.007573,0.070140,0.018387,0.138338,-0.017172,-0.990236,4.479499,0.141857,0.320458,1.601396,0.674356,0.000870,-0.038204,-0.022443,0.001318,-0.119885,0.400349,-3.4574,13.1989,5.6228,22.0000,
29,290,0.580000,0.232800,0.429447,0.996872,0.010149,0.076640,0.016390,0.151174,-0.022223,-0.988257,4.479818,0.151371,0.314900,1.609299,0.668392,0.000908,-0.038307,-0.020895,0.001970,-0.121275,0.402325,-3.6268,13.1692,5.5686,22.0000,
30,300,0.600000,0.240800,0.429007,0.996347,0.012825,0.083286,0.013806,0.164282,-0.027319,-0.986035,4.488031,0.157805,0.309459,1.616584,0.666272,0.000948,-0.038427,-0.019360,0.001976,-0.122635,0.404146,-3.6697,13.2330,5.4788,22.0000,
31,310,0.620000,0.248800,0.428444,0.995748,0.015583,0.090132,0.010946,0.177774,-0.032485,-0.983535,4.475002,0.166193,0.329482,1.614410,0.649294,0.000984,-0.038527,-0.017893,0.001737,-0.117630,0.403603,-3.7112,13.2855,5.4302,22.0000,
32,320,0.640000,0.256800,0.427739,0.995056,0.018539,0.097258,0.007770,0.191829,-0.037865,-0.980698,4.453476,0.170040,0.357181,1.581442,0.621258,0.001013,-0.038591,-0.016571,0.001319,-0.110705,0.395361,-3.5613,13.2696,5.2707,22.0000,
33,330,0.660000,0.264800,0.426904,0.994269,0.021644,0.104605,0.004307,0.206354,-0.043368,-0.977516,4.422394,0.174864,0.380580,1.565017,0.592874,0.001037,-0.038642,-0.015317,0.000949,-0.104855,0.391254,-3.3537,13.0224,5.0254,22.0000,
34,340,0.680000,0.272800,0.426205,0.993403,0.024804,0.111960,0.000228,0.220986,-0.048798,-0.974055,4.402350,0.177558,0.394395,1.554283,0.573362,0.001043,-0.038675,-0.014092,0.000037,-0.101401,0.388571,-3.1770,12.8983,4.7793,22.0000,
35,350,0.700000,0.280800,0.425803,0.992484,0.027821,0.119084,-0.004577,0.235223,-0.053682,-0.970458,4.380988,0.179958,0.403704,1.544527,0.556531,0.001038,-0.038682,-0.012944,-0.000043,-0.099074,0.386132,-3.0731,12.8178,4.6057,22.0000,
36,360,0.720000,0.288800,0.425525,0.991492,0.030578,0.126118,-0.010156,0.249299,-0.057691,-0.966707,4.357284,0.180818,0.412281,1.532014,0.537970,0.001037,-0.038671,-0.011889,0.000243,-0.096930,0.383004,-3.0037,12.7424,4.4542,22.0000,
37,370,0.740000,0.296800,0.425199,0.990393,0.033118,0.133246,-0.016439,0.263560,-0.060954,-0.962715,4.331542,0.182270,0.410823,1.532401,0.528022,0.001044,-0.038660,-0.010908,0.000563,-0.097294,0.383100,-2.9400,12.6479,4.2906,22.0000,
38,380,0.760000,0.304800,0.424728,0.989150,0.035450,0.140654,-0.023273,0.278383,-0.063408,-0.958375,4.314868,0.182696,0.398747,1.532133,0.528981,0.001054,-0.038640,-0.009973,0.000551,-0.100313,0.383033,-2.9513,12.6503,4.1896,22.0000,
39,390,0.780000,0.312800,0.424044,0.987736,0.037500,0.148483,-0.030406,0.293983,-0.064912,-0.953604,4.303659,0.184028,0.382930,1.539237,0.537658,0.001067,-0.038595,-0.009053,0.000452,-0.104268,0.384809,-3.0421,12.6457,4.1706,22.0000,
40,400,0.800000,0.320800,0.423083,0.986121,0.039291,0.156860,-0.037649,0.310574,-0.065664,-0.948279,4.287947,0.186552,0.369625,1.540499,0.549915,0.001083,-0.038559,-0.008143,0.001095,-0.107594,0.385125,-3.1621,12.6992,4.2060,22.0000,
41,410,0.820000,0.328800,0.421731,0.984279,0.040762,0.166243,-0.043544,0.328895,-0.065778,-0.942073,4.261925,0.189447,0.364076,1.535320,0.560788,0.001063,-0.038706,-0.006708,-0.003221,-0.108981,0.383830,-3.2549,12.7422,4.1898,22.0000,
42,420,0.840000,0.336800,0.420059,0.982248,0.041868,0.176321,-0.048452,0.348455,-0.065318,-0.935047,4.234098,0.192437,0.365760,1.524678,0.572450,0.000969,-0.039136,-0.005052,-0.005429,-0.108560,0.381169,-3.2904,12.7192,4.2479,22.0000,
43,430,0.860000,0.344800,0.418034,0.980015,0.042278,0.186840,-0.053615,0.368671,-0.063177,-0.927411,4.212145,0.196711,0.365529,1.512926,0.583490,0.000854,-0.039491,-0.003795,-0.005868,-0.108618,0.378231,-3.2736,12.6422,4.3248,22.0000,
44,440,0.880000,0.352800,0.415661,0.977519,0.042182,0.197905,-0.059256,0.389753,-0.059423,-0.919000,4.190190,0.201989,0.364115,1.508631,0.596322,0.000740,-0.039733,-0.002940,-0.005763,-0.108971,0.377158,-3.2721,12.5545,4.4148,22.0000,
45,450,0.900000,0.360800,0.412870,0.974718,0.041516,0.209647,-0.065192,0.411801,-0.054148,-0.909664,4.184157,0.207548,0.347234,1.512173,0.619384,0.000630,-0.039894,-0.002411,-0.004841,-0.113192,0.378043,-3.2808,12.5209,4.5093,22.0000,
46,460,0.920000,0.368800,0.409662,0.971577,0.040756,0.222526,-0.069710,0.435618,-0.048717,-0.898812,4.158357,0.214721,0.343442,1.502089,0.639984,0.000550,-0.040026,-0.001977,-0.003531,-0.114139,0.375522,-3.4069,12.5505,4.6759,22.0000,
47,470,0.940000,0.376800,0.405889,0.968078,0.039807,0.236502,-0.072847,0.461078,-0.043159,-0.886309,4.107676,0.220956,0.355955,1.481552,0.659933,0.000479,-0.040128,-0.001654,-0.003254,-0.111011,0.370388,-3.4337,12.4765,4.8290,22.0000,
48,480,0.960000,0.384800,0.401444,0.964156,0.038637,0.251523,-0.075141,0.488039,-0.037319,-0.872023,4.025309,0.228045,0.391130,1.456459,0.685447,0.000415,-0.040215,-0.001426,-0.003124,-0.102217,0.364115,-3.3381,12.3259,4.9776,22.0000,
49,490,0.980000,0.392800,0.396206,0.959724,0.037277,0.267617,-0.076951,0.516485,-0.031020,-0.855734,3.919483,0.235375,0.455241,1.423467,0.714199,0.000358,-0.040289,-0.001258,-0.002768,-0.086190,0.355867,-3.0731,12.1396,5.1675,22.0000,
50,500,1.000000,0.400800,0.390054,0.954682,0.035754,0.284858,-0.078481,0.546435,-0.024252,-0.837150,3.802836,0.242356,0.535473,1.400390,0.750901,0.000308,-0.040355,-0.001126,-0.002348,-0.066132,0.350098,-2.5914,11.8920,5.3815,22.0000,
51,510,1.020000,0.408800,0.382845,0.948925,0.034141,0.303302,-0.079901,0.577848,-0.017052,-0.815966,3.682444,0.248666,0.616502,1.378595,0.799447,0.000267,-0.040422,-0.001016,-0.001923,-0.045874,0.344649,-1.9891,11.7230,5.6546,22.0000,
52,520,1.040000,0.416800,0.374422,0.942336,0.032405,0.323043,-0.081222,0.610733,-0.009394,-0.791781,3.558231,0.252125,0.704290,1.355627,0.852915,0.000233,-0.040483,-0.000915,-0.001419,-0.023927,0.338907,-1.3811,11.5572,6.0162,22.0000,
53,530,1.060000,0.424800,0.364605,0.934785,0.030557,0.344149,-0.082488,0.644951,-0.001198,-0.764223,3.426744,0.256579,0.796124,1.336161,0.914045,0.000207,-0.040535,-0.000820,-0.001217,-0.000969,0.334040,-0.7222,11.3873,6.4148,22.0000,
54,540,1.080000,0.432800,0.353194,0.926129,0.028608,0.366674,-0.083766,0.680367,0.007517,-0.732833,3.296560,0.260368,0.896297,1.302744,0.980024,0.000186,-0.040584,-0.000727,-0.000853,0.024074,0.325686,-0.0334,11.2414,6.8703,22.0000,
55,550,1.100000,0.440800,0.339996,0.916210,0.026492,0.390686,-0.084981,0.716728,0.016876,-0.697149,3.163944,0.265838,1.001518,1.259300,1.050778,0.000172,-0.040623,-0.000630,-0.000460,0.050379,0.314825,0.7178,10.9917,7.3619,22.0000,
56,560,1.120000,0.448800,0.324764,0.904878,0.024013,0.416157,-0.086217,0.753592,0.027183,-0.656781,3.154212,0.271805,1.096529,1.200020,1.126465,0.000160,-0.040651,-0.000535,-0.000608,0.074132,0.300005,1.5075,10.6645,7.8907,22.0000,
57,570,1.140000,0.456800,0.307247,0.891970,0.020937,0.443035,-0.087584,0.790371,0.039074,-0.611381,3.150735,0.279602,1.185356,1.131849,1.203425,0.000154,-0.040672,-0.000440,-0.000107,0.096339,0.282962,2.2195,10.2202,8.4545,22.0000,
58,580,1.160000,0.464800,0.288177,0.877038,0.019247,0.472092,-0.086965,0.827607,0.047964,-0.559255,3.140289,0.290488,1.306020,1.029161,1.284902,0.000192,-0.040732,-0.000292,0.003410,0.126505,0.257290,2.8793,9.7165,9.0215,22.0308,
59,590,1.180000,0.472800,0.267985,0.859854,0.019801,0.503374,-0.082902,0.865293,0.049490,-0.498817,3.094736,0.302892,1.450038,0.903258,1.373466,0.000238,-0.040814,-0.000150,0.001406,0.162509,0.225814,3.7859,8.9469,9.6320,22.2482,
60,600,1.200000,0.480800,0.244857,0.840763,0.021508,0.535456,-0.077086,0.900393,0.046819,-0.432550,3.015439,0.317129,1.616580,0.751052,1.470678,0.000261,-0.040835,-0.000013,0.000937,0.204145,0.187763,4.8661,7.9987,10.2920,22.3488,
