step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
1,10,0.020000,0.007333,0.423341,0.999886,0.000233,-0.015084,-0.000084,-0.025914,-0.000428,-0.999664,1.131246,-0.132935,-0.111530,0.542707,0.161221,-0.149586,-0.012910,-0.023086,3.741436,-0.227883,0.135677,-7.1246,1.6777,3.5990,12.6000,
2,20,0.040000,0.014000,0.430313,0.999341,0.000299,-0.036284,0.000072,-0.068461,-0.000572,-0.997654,2.372665,-0.288769,-0.110917,0.948923,0.223409,-0.075405,-0.033652,-0.061973,3.465087,-0.227729,0.237231,-9.7720,6.5872,4.4865,16.4738,
3,30,0.060000,0.020667,0.435632,0.998709,0.000274,-0.050790,-0.000006,-0.099258,-0.000553,-0.995062,3.285602,-0.385142,-0.054204,1.149888,0.267074,-0.023271,-0.045826,-0.067755,1.765255,-0.213551,0.287472,-8.7816,8.7942,3.8234,22.0000,
4,40,0.080000,0.027333,0.436228,0.998366,0.000197,-0.057135,0.000556,-0.113285,-0.000365,-0.993562,3.956221,-0.427078,0.095190,1.146225,0.267217,-0.007270,-0.045393,-0.068156,0.322113,-0.176203,0.286556,-6.6716,9.8112,4.0646,22.0000,
5,50,0.100000,0.034000,0.430857,0.998276,0.000092,-0.058673,0.001423,-0.117071,0.000096,-0.993124,4.408402,-0.415555,0.408538,1.177432,0.214860,-0.004063,-0.042542,-0.068282,0.089353,-0.097865,0.294358,-5.2982,9.6732,4.0467,22.0000,
6,60,0.120000,0.040667,0.429680,0.998395,0.000210,-0.056587,0.002092,-0.113766,-0.000266,-0.993508,4.575714,-0.435533,0.548135,1.158558,0.320356,-0.002793,-0.040797,-0.067916,0.049038,-0.062966,0.289640,-2.9257,9.9480,3.6097,22.0000,
7,70,0.140000,0.047333,0.432438,0.998771,-0.001241,-0.049548,0.000767,-0.100862,0.002197,-0.994898,4.430578,-0.407026,0.307835,1.160723,0.474902,-0.002017,-0.039423,-0.067074,0.031517,-0.123041,0.290181,-1.8757,9.7657,4.3400,22.0000,
8,80,0.160000,0.054000,0.435921,0.999304,-0.003185,-0.037087,-0.002466,-0.077010,0.005851,-0.997013,4.269889,-0.339138,-0.092084,1.266141,0.682128,-0.001521,-0.037853,-0.065980,0.019862,-0.223021,0.316535,-3.6754,9.7166,5.4523,22.0000,
9,90,0.180000,0.060667,0.438720,0.999748,-0.004769,-0.020878,-0.006773,-0.045245,0.008963,-0.998936,4.149029,-0.226182,-0.328335,1.520070,0.892328,-0.001210,-0.036195,-0.064494,0.012266,-0.282084,0.380017,-6.6727,10.4618,6.9183,22.0000,
10,100,0.200000,0.067333,0.440320,0.999914,-0.006067,-0.002967,-0.011251,-0.009690,0.011798,-0.999883,4.202229,-0.096619,-0.320717,1.735864,1.056266,-0.001022,-0.034732,-0.062184,0.006786,-0.280179,0.433966,-8.4420,12.3429,8.3505,22.0000,
11,110,0.220000,0.074000,0.441319,0.999824,-0.006933,0.009310,-0.014744,0.017062,0.013912,-0.999758,4.348825,-0.042831,-0.098556,1.807110,1.161107,-0.000913,-0.034013,-0.059171,0.004353,-0.224639,0.451778,-8.3845,14.0346,9.4657,22.0000,
12,120,0.240000,0.080667,0.441444,0.999773,-0.008038,0.011977,-0.015695,0.023608,0.016216,-0.999590,4.369164,-0.036207,0.254663,1.800470,1.109697,-0.000807,-0.034275,-0.055993,0.006175,-0.136334,0.450118,-6.7242,14.6115,10.1516,22.0000,
13,130,0.260000,0.087333,0.440509,0.999772,-0.009273,0.011331,-0.015556,0.022596,0.018648,-0.999571,4.346441,-0.043094,0.528833,1.783642,0.979750,-0.000665,-0.034684,-0.052985,0.007206,-0.067792,0.445911,-4.0809,14.5739,9.6955,22.0000,
14,140,0.280000,0.094000,0.439469,0.999790,-0.010181,0.010823,-0.014123,0.021348,0.020535,-0.999561,4.386645,-0.048104,0.577443,1.759614,0.876100,-0.000494,-0.035129,-0.050148,0.008396,-0.055639,0.439904,-2.0315,14.4672,8.6434,22.0000,
15,150,0.300000,0.100667,0.438774,0.999811,-0.010613,0.011442,-0.011622,0.022406,0.021441,-0.999519,4.470409,-0.039638,0.467185,1.731136,0.811425,-0.000350,-0.035619,-0.047450,0.006140,-0.083204,0.432784,-1.6679,14.3018,7.7977,22.0000,
16,160,0.320000,0.107333,0.438189,0.999823,-0.010703,0.012970,-0.008471,0.025370,0.021637,-0.999444,4.561282,-0.019521,0.322880,1.724899,0.808396,-0.000257,-0.036074,-0.044940,0.003607,-0.119280,0.431225,-2.4938,14.0979,7.2517,22.0000,
17,170,0.340000,0.114000,0.437524,0.999818,-0.010511,0.015109,-0.004952,0.029627,0.021239,-0.999335,4.621074,0.004046,0.235921,1.730796,0.826050,-0.000208,-0.036470,-0.042600,0.001642,-0.141020,0.432699,-3.5746,14.0586,7.1706,22.0000,
18,180,0.360000,0.120667,0.436656,0.999793,-0.010072,0.017626,-0.001301,0.034677,0.020307,-0.999192,4.630463,0.025320,0.234640,1.731757,0.832036,-0.000191,-0.036810,-0.040404,0.000300,-0.141340,0.432939,-4.2253,14.1091,7.2471,22.0000,
19,190,0.380000,0.127333,0.435534,0.999744,-0.009402,0.020437,0.002317,0.040307,0.018876,-0.999009,4.613774,0.042879,0.283564,1.720135,0.820269,-0.000195,-0.037104,-0.038330,-0.000469,-0.129109,0.430034,-4.2337,14.1222,7.2384,22.0000,
20,200,0.400000,0.134000,0.434185,0.999668,-0.008517,0.023610,0.005799,0.046594,0.016974,-0.998770,4.597018,0.056532,0.330795,1.699369,0.802662,-0.000209,-0.037366,-0.036367,-0.000883,-0.117301,0.424842,-3.8657,14.0407,7.0992,22.0000,
21,210,0.420000,0.140667,0.433480,0.999539,-0.007321,0.028172,0.008617,0.055399,0.014436,-0.998360,4.605001,0.071606,0.297348,1.689166,0.796562,-0.000208,-0.037673,-0.034610,-0.000077,-0.125663,0.422291,-3.5127,13.8982,6.9328,22.0000,
22,220,0.440000,0.147333,0.433155,0.999354,-0.005916,0.033804,0.010709,0.066517,0.011425,-0.997720,4.619843,0.087718,0.256520,1.686244,0.794931,-0.000027,-0.037853,-0.032778,0.012393,-0.135870,0.421561,-3.7877,13.8135,6.8152,22.0000,
23,230,0.460000,0.154000,0.432720,0.999121,-0.004320,0.039820,0.012372,0.078470,0.008013,-0.996884,4.635239,0.102578,0.228707,1.689015,0.792209,0.000233,-0.037951,-0.030868,0.012851,-0.142823,0.422254,-4.1024,13.7924,6.7451,22.0000,
24,240,0.480000,0.160667,0.432087,0.998845,-0.002503,0.045886,0.014000,0.090529,0.004131,-0.995885,4.630915,0.114565,0.236713,1.684639,0.778196,0.000468,-0.037999,-0.028985,0.010513,-0.140822,0.421160,-4.3145,13.8034,6.6723,22.0000,
25,250,0.500000,0.167333,0.431341,0.998524,-0.000407,0.051928,0.015933,0.102525,-0.000349,-0.994730,4.613798,0.123721,0.274649,1.670828,0.753042,0.000649,-0.037968,-0.027191,0.007806,-0.131338,0.417707,-4.2558,13.7758,6.5206,22.0000,
26,260,0.520000,0.174000,0.430535,0.998155,0.002073,0.057881,0.018234,0.114308,-0.005663,-0.993429,4.591992,0.129010,0.317032,1.648136,0.726036,0.000777,-0.038064,-0.025485,0.005342,-0.120742,0.412034,-3.9714,13.6841,6.2866,22.0000,
27,270,0.540000,0.180667,0.429980,0.997748,0.004634,0.063995,0.019552,0.126290,-0.011221,-0.991930,4.580382,0.133173,0.333831,1.630268,0.703252,0.000850,-0.038166,-0.023874,0.002529,-0.116542,0.407567,-3.6515,13.5110,6.0438,22.0000,
28,280,0.560000,0.187333,0.429724,0.997311,0.007175,0.070461,0.018819,0.138963,-0.016442,-0.990161,4.598989,0.135385,0.310905,1.625238,0.702416,0.000885,-0.038241,-0.022319,0.001241,-0.122274,0.406310,-3.5247,13.3813,5.8272,22.0000,
29,290,0.580000,0.194000,0.429410,0.996836,0.009783,0.077055,0.016880,0.151982,-0.021577,-0.988148,4.605318,0.144111,0.302651,1.633803,0.697382,0.000922,-0.038339,-0.020781,0.001890,-0.124337,0.408451,-3.6987,13.3485,5.7763,22.0000,
30,300,0.600000,0.200667,0.428974,0.996303,0.012490,0.083791,0.014292,0.165257,-0.026741,-0.985888,4.622125,0.149687,0.292220,1.642616,0.698071,0.000960,-0.038451,-0.019252,0.001768,-0.126945,0.410654,-3.7616,13.4170,5.6933,22.0000,
31,310,0.620000,0.207333,0.428409,0.995692,0.015291,0.090742,0.011375,0.178953,-0.031996,-0.983337,4.620597,0.157162,0.304350,1.640126,0.686313,0.000993,-0.038538,-0.017816,0.001373,-0.123912,0.410031,-3.8402,13.4818,5.6677,22.0000,
32,320,0.640000,0.214000,0.427708,0.994991,0.018194,0.097948,0.008287,0.193149,-0.037271,-0.980461,4.603899,0.162021,0.338226,1.612942,0.655521,0.001022,-0.038585,-0.016507,0.001177,-0.115443,0.403235,-3.7498,13.4611,5.5468,22.0000,
33,330,0.660000,0.220667,0.426851,0.994191,0.021349,0.105383,0.004771,0.207866,-0.042910,-0.977216,4.580096,0.165111,0.360230,1.598714,0.629799,0.001043,-0.038640,-0.015251,0.000840,-0.109942,0.399678,-3.4959,13.2584,5.2801,22.0000,
34,340,0.680000,0.227333,0.426125,0.993313,0.024556,0.112810,0.000743,0.222614,-0.048460,-0.973701,4.559173,0.167044,0.378622,1.580657,0.607210,0.001049,-0.038670,-0.014023,0.000035,-0.105345,0.395164,-3.3298,13.1513,5.0540,22.0000,
35,350,0.700000,0.234000,0.425679,0.992373,0.027565,0.120084,-0.003916,0.237119,-0.053350,-0.970015,4.537580,0.167764,0.390826,1.565881,0.585486,0.001043,-0.038667,-0.012878,-0.000125,-0.102294,0.391470,-3.1915,13.0146,4.8580,22.0000,
36,360,0.720000,0.240667,0.425348,0.991358,0.030315,0.127288,-0.009350,0.251507,-0.057375,-0.966153,4.519073,0.168247,0.390520,1.558550,0.568939,0.001040,-0.038651,-0.011831,0.000083,-0.102370,0.389637,-3.1001,12.9018,4.6703,22.0000,
37,370,0.740000,0.247333,0.424968,0.990236,0.032840,0.134584,-0.015509,0.266085,-0.060598,-0.962043,4.501497,0.168836,0.385263,1.559425,0.559665,0.001043,-0.038636,-0.010859,0.000395,-0.103684,0.389856,-3.1030,12.8463,4.5220,22.0000,
38,380,0.760000,0.254000,0.424450,0.988974,0.035093,0.142157,-0.022155,0.281182,-0.062969,-0.957586,4.490411,0.169378,0.372309,1.568264,0.560377,0.001051,-0.038607,-0.009929,0.000506,-0.106923,0.392066,-3.1428,12.8499,4.4262,22.0000,
39,390,0.780000,0.260667,0.423723,0.987538,0.037110,0.150139,-0.029158,0.297061,-0.064401,-0.952684,4.480399,0.169894,0.356973,1.574762,0.567451,0.001062,-0.038560,-0.009021,0.000596,-0.110757,0.393690,-3.2404,12.9162,4.4061,22.0000,
40,400,0.800000,0.267333,0.422739,0.985901,0.038845,0.158642,-0.036362,0.313900,-0.065018,-0.947227,4.469690,0.169433,0.342483,1.568416,0.577946,0.001075,-0.038524,-0.008133,0.000591,-0.114379,0.392104,-3.3558,12.9661,4.4334,22.0000,
41,410,0.820000,0.274000,0.421395,0.984037,0.040267,0.168039,-0.042580,0.332222,-0.064984,-0.940960,4.448424,0.171142,0.334509,1.568139,0.586763,0.001052,-0.038668,-0.006723,-0.003368,-0.116373,0.392035,-3.4579,12.9455,4.3962,22.0000,
42,420,0.840000,0.280667,0.419696,0.981964,0.041393,0.178262,-0.047499,0.352003,-0.064486,-0.933775,4.434357,0.172795,0.322673,1.564474,0.603878,0.000962,-0.039072,-0.005001,-0.005430,-0.119332,0.391118,-3.5119,12.9659,4.4402,22.0000,
43,430,0.860000,0.287333,0.417611,0.979684,0.041873,0.188954,-0.052564,0.372545,-0.062432,-0.925912,4.419754,0.176474,0.319090,1.552266,0.613658,0.000848,-0.039453,-0.003767,-0.005884,-0.120228,0.388066,-3.5966,12.9439,4.5608,22.0000,
44,440,0.880000,0.294000,0.415161,0.977143,0.041720,0.200214,-0.058010,0.393915,-0.058791,-0.917265,4.403228,0.179422,0.317624,1.542556,0.622254,0.000731,-0.039713,-0.002936,-0.006070,-0.120594,0.385639,-3.6197,12.8493,4.6424,22.0000,
45,450,0.900000,0.300667,0.412286,0.974284,0.041121,0.212174,-0.063729,0.416338,-0.053606,-0.907628,4.387289,0.184433,0.306918,1.536955,0.632875,0.000621,-0.039880,-0.002417,-0.004585,-0.123271,0.384239,-3.6296,12.7748,4.7039,22.0000,
46,460,0.920000,0.307333,0.408984,0.971080,0.040361,0.225296,-0.067942,0.440528,-0.048326,-0.896437,4.372921,0.186697,0.287133,1.522298,0.648073,0.000539,-0.040008,-0.001995,-0.003680,-0.128217,0.380574,-3.7088,12.7343,4.7789,22.0000,
47,470,0.940000,0.314000,0.405092,0.967499,0.039434,0.239482,-0.070989,0.466332,-0.042893,-0.883569,4.342115,0.190392,0.271562,1.508976,0.667429,0.000465,-0.040113,-0.001688,-0.003509,-0.132110,0.377244,-3.8552,12.6274,4.8918,22.0000,
48,480,0.960000,0.320667,0.400499,0.963476,0.038272,0.254712,-0.073291,0.493624,-0.037018,-0.868887,4.286955,0.195197,0.283290,1.487699,0.686792,0.000398,-0.040196,-0.001473,-0.003162,-0.129178,0.371925,-3.9705,12.5294,5.0361,22.0000,
49,490,0.980000,0.327333,0.395092,0.958919,0.036901,0.271044,-0.075148,0.522404,-0.030665,-0.852147,4.201218,0.200475,0.325294,1.467394,0.713941,0.000338,-0.040266,-0.001316,-0.002814,-0.118676,0.366849,-3.8812,12.3719,5.1802,22.0000,
50,500,1.000000,0.334000,0.388749,0.953740,0.035326,0.288535,-0.076686,0.552676,-0.023828,-0.833055,4.105944,0.204858,0.385764,1.445019,0.749031,0.000285,-0.040331,-0.001195,-0.002525,-0.103559,0.361255,-3.5650,12.2192,5.3824,22.0000,
51,510,1.020000,0.340667,0.381324,0.947822,0.033660,0.307245,-0.078113,0.584427,-0.016554,-0.811277,4.004724,0.209250,0.453560,1.426722,0.789582,0.000240,-0.040394,-0.001094,-0.002022,-0.086610,0.356681,-3.1109,12.0523,5.6437,22.0000,
52,520,1.040000,0.347333,0.372655,0.941049,0.031897,0.327256,-0.079458,0.617601,-0.008826,-0.786442,3.900540,0.213009,0.516372,1.406486,0.837774,0.000203,-0.040456,-0.001005,-0.001699,-0.070907,0.351622,-2.6019,11.9209,5.9457,22.0000,
53,530,1.060000,0.354000,0.362557,0.933289,0.030019,0.348646,-0.080720,0.652106,-0.000591,-0.758128,3.788992,0.217814,0.589422,1.388249,0.886277,0.000173,-0.040508,-0.000922,-0.001536,-0.052644,0.347062,-2.1301,11.7684,6.3051,22.0000,
54,540,1.080000,0.360667,0.350827,0.924392,0.028045,0.371474,-0.081976,0.687757,0.008153,-0.725895,3.665757,0.224569,0.676769,1.367926,0.938040,0.000148,-0.040556,-0.000842,-0.001216,-0.030808,0.341982,-1.5819,11.6327,6.6666,22.0000,
55,550,1.100000,0.367333,0.337257,0.914196,0.025922,0.395789,-0.083213,0.724278,0.017496,-0.689286,3.543829,0.230894,0.772496,1.337770,0.993269,0.000128,-0.040599,-0.000761,-0.000899,-0.006876,0.334442,-0.9267,11.4800,7.0522,22.0000,
56,560,1.120000,0.374000,0.321584,0.902546,0.023468,0.421565,-0.084513,0.761238,0.027752,-0.647879,3.427414,0.239010,0.868148,1.300377,1.051593,0.000110,-0.040631,-0.000685,-0.001208,0.017037,0.325094,-0.2078,11.2543,7.4663,22.0000,
57,570,1.140000,0.380667,0.303568,0.889265,0.020619,0.448781,-0.085900,0.798054,0.039257,-0.601306,3.310994,0.249542,0.955586,1.239192,1.111257,0.000099,-0.040653,-0.000604,-0.000236,0.038897,0.309798,0.5085,10.9740,7.8986,22.0000,
58,580,1.160000,0.387333,0.284227,0.873833,0.019340,0.478341,-0.085046,0.835450,0.047247,-0.547531,3.220979,0.265694,1.068574,1.133391,1.170960,0.000135,-0.040724,-0.000468,0.002820,0.067143,0.283348,1.1586,10.5267,8.3384,22.0000,
59,590,1.180000,0.394000,0.263521,0.856178,0.020058,0.509934,-0.080780,0.872829,0.048172,-0.485642,3.228367,0.280080,1.220271,1.024474,1.233228,0.000169,-0.040796,-0.000346,0.000786,0.105068,0.256119,2.0081,9.7245,8.7840,22.2774,
60,600,1.200000,0.400667,0.239775,0.836619,0.021814,0.542203,-0.074898,0.907302,0.045133,-0.418050,3.182839,0.289832,1.363983,0.916705,1.313172,0.000179,-0.040808,-0.000237,-0.000229,0.140996,0.229176,3.1470,8.9062,9.2514,22.5982,
